year,title,url,count
2024,ARC Prize 2024: Technical Report,https://arxiv.org/pdf/2412.04604.pdf,1
1948,A Mathematical Theory of Communication,https://ia803209.us.archive.org/27/items/bstj27-3-379/bstj27-3-379_text.pdf,1
2018,Accelerating Search-Based Program Synthesis using Learned Probabilistic Models (Euphony),https://www.cis.upenn.edu/~alur/PLDI18.pdf,1
2025,ARC is a Vision Problem!,https://arxiv.org/pdf/2511.14761.pdf,1
2025,ARC-AGI Without Pretraining (CompressARC),https://iliao2345.github.io/blog_posts/arc_agi_without_pretraining/ARC_AGI_Without_Pretraining.pdf,1
2024,Combining Induction and Transduction for Abstract Reasoning,https://www.cs.cornell.edu/~ellisk/documents/arc_induction_vs_transduction.pdf,1
2025,ARC-NCA: Towards Developmental Solutions to the Abstraction and Reasoning Corpus,https://arxiv.org/pdf/2505.08778.pdf,1
2025,ArcMemo: Abstract Reasoning Composition with Lifelong LLM Memory,https://arxiv.org/pdf/2509.04439.pdf,1
2011,Automating String Processing in Spreadsheets Using Input-Output Examples (FlashFill),https://www.microsoft.com/en-us/research/wp-content/uploads/2016/12/popl11-synthesis.pdf,1
2011,Synthesis From Examples: Interaction Models and Algorithms,https://www.microsoft.com/en-us/research/wp-content/uploads/2016/12/synasc12.pdf,1
2025,Beyond Brute Force: A Neuro-Symbolic Architecture for Compositional Reasoning in ARC-AGI-2,https://github.com/CoreThink-AI/Research-publications/blob/main/Preprints/Beyond_Brute_Force__A_Neuro_Symbolic_Architecture_for_Compositional_Reasoning_in_ARC_AGI_2.pdf,1
2025,Product of Experts with LLMs: Boosting Performance on ARC Is a Matter of Perspective,https://arxiv.org/pdf/2505.07859.pdf,1
2010,Component-based Synthesis Applied to Bitvector Programs,https://www.microsoft.com/en-us/research/wp-content/uploads/2010/02/bv.pdf,1
2025,Don't throw the baby out with the bathwater: How and why deep learning for ARC,https://arxiv.org/pdf/2506.14276.pdf,1
1991,"Dyna, an Integrated Architecture for Learning, Planning, and Reacting",https://sci-hub.ru/10.1145/122344.122377,1
2025,Efficient Evolutionary Program Synthesis,https://substack.com/inbox/post/172998849,1
2024,Evolutionary Test-Time Compute (write-up),https://jeremyberman.substack.com/p/how-i-got-a-record-536-on-arc-agi,1
2025,Exploring the combination of search and learn for the ARC25 challenge,https://ironbar.github.io/arc25/05_Solution_Summary/,1
2025,From Parrots to Von Neumanns: How Evolutionary Test-Time Compute Achieved SOTA on ARC-AGI,https://github.com/jerber/arc-lang-public/blob/main/from_parrots_to_von_neumanns.pdf,1
2025,H-ARC (Human-ARC): A Comprehensive Behavioral Dataset for the Abstraction and Reasoning Corpus,https://www.nature.com/articles/s41597-025-05687-1.pdf,1
2025,Hierarchical Reasoning Model (HRM),https://arxiv.org/pdf/2506.21734.pdf,1
2014,Hierarchy of Intrinsic Timescales in Cortex,https://www.cns.nyu.edu/wanglab/publications/pdf/murray.nn2014.pdf,1
2024,HiRoPE: Length Extrapolation for Code Models Using Hierarchical Rotary Position Embedding,https://aclanthology.org/2024.acl-long.735.pdf,1
2009,ImageNet: A Large-Scale Hierarchical Image Database,https://www.image-net.org/static_files/papers/imagenet_cvpr09.pdf,1
2018,Improving Language Understanding by Generative Pre-Training,https://cdn.openai.com/research-covers/language-unsupervised/language_understanding_paper.pdf,1
2025,Less is More: Recursive Reasoning with Tiny Networks (TRM),https://arxiv.org/pdf/2510.04871.pdf,1
2024,LLFormer4D: LiDAR-based lane detection method,https://ietresearch.onlinelibrary.wiley.com/doi/pdfdirect/10.1049/cvi2.12338?download=true,1
2023,Mask4D: End-to-End Mask-Based 4D Panoptic Segmentation for LiDAR Sequences,https://www.ipb.uni-bonn.de/wp-content/papercite-data/pdf/marcuzzi2023ral-meem.pdf,1
2016,Mastering the Game of Go with Deep Neural Networks and Tree Search (AlphaGo),https://sci-hub.ru/10.1038/nature16961,1
2024,Mini-ARC: Solving Abstraction and Reasoning Puzzles with Small Transformer Models,https://www.paulfletcherhill.com/mini-arc.pdf,1
2025,Nested Learning: The Illusion of Deep Learning Architecture,LOCAL COPY,1
2025,NVARC solution to ARC-AGI-2 2025,https://drive.google.com/file/d/1vkEluaaJTzaZiJL69TkZovJUkPSDH5Xc/view?usp=sharing,1
2024,Omni-ARC,https://ironbar.github.io/arc24/05_Solution_Summary/#omni-arc-training-a-single-model-to-do-multiple-arc-related-tasks,1
2019,On the Measure of Intelligence (ARC),https://arxiv.org/pdf/1911.01547,1
1994,On-line Q-learning Using Connectionist Systems,https://www.researchgate.net/profile/Mahesan-Niranjan/publication/2500611_On-Line_Q-Learning_Using_Connectionist_Systems/links/5438d5db0cf204cab1d6db0f/On-Line-Q-Learning-Using-Connectionist-Systems.pdf,1
1962,"Receptive Fields, Binocular Interaction, and Functional Architecture in the Cat's Visual Cortex",https://www.gatsby.ucl.ac.uk/~lmatthey/teaching/tn1/additional/systems/JPhysiol-1962-Hubel-106-54.pdf,1
2010,Relative Entropy Policy Search (REPS),https://ojs.aaai.org/index.php/AAAI/article/view/7727,1
2025,Rethinking Visual Intelligence: Insights from Video Pretraining,https://arxiv.org/pdf/2510.24448,1
2018,Search-based Program Synthesis,https://www.cis.upenn.edu/~alur/CACM18.pdf,1
2024,Searching Latent Program Spaces,https://github.com/clement-bonnet/lpn/blob/7f86b1d11ea37ba173700dbac8604393eac6da37/paper.pdf,1
2025,Self-Improving Language Models for Evolutionary Program Synthesis: A Case Study on ARC-AGI (SOAR),https://openreview.net/pdf?id=z4IG090qt2,1
2021,Swin Transformer: Hierarchical Vision Transformer using Shifted Windows,https://openaccess.thecvf.com/content/ICCV2021/papers/Liu_Swin_Transformer_Hierarchical_Vision_Transformer_Using_Shifted_Windows_ICCV_2021_paper.pdf,1
2022,Tackling the Abstraction and Reasoning Corpus with Vision Transformers: the ViTARC Architecture,https://openreview.net/forum?id=0gOQeSHNX1,1
2025,Test-time Adaptation of Tiny Recursive Models,https://trelis.com/wp-content/uploads/2025/11/mcgovern_test_time_adaptation_trm.pdf,1
2025,The ARChitects – Technical Report: ARC Prize 2025 Solution Summary,https://lambdalabsml.github.io/ARC2025_Solution_by_the_ARChitects/,1
2024,The LLM ARChitect: Solving ARC-AGI Is a Matter of Perspective,https://github.com/da-fr/arc-prize-2024/blob/main/the_architects.pdf,1
2024,The Surprising Effectiveness of Test-Time Training for Abstract Reasoning,https://arxiv.org/pdf/2411.07279.pdf,1
1949,Translation (Weaver Memorandum),https://www.mt-archive.net/50/Weaver-1949.pdf,1
2025,Vector Symbolic Algebras for the Abstraction and Reasoning Corpus,https://github.com/ijoffe/ARC-VSA-2025/blob/main/paper/paper.pdf,1
2024,Towards Efficient Neurally-Guided Program Induction for ARC-AGI,https://drive.google.com/file/d/1sFlK3mhz8kH2agdE379o0ODQWYkrSD0b/view?usp=sharing,1
2024,A 2D nGPT Model For Arc Prize,https://github.com/jfpuget/ARC-AGI-Challenge-2024/blob/main/arc.pdf,1
0000,MISTAKE,None,0
