                                                                           Low                                    Medium                                    High
                                                           w/o Sol.    w/Sol.      Est.     Acc    w/o Sol.   w/Sol.      Est.      Acc     w/o Sol.   w/Sol.      Est.     Acc
                                                             (w/c)     (w/c)      (w/c)              (w/c)     (w/c)      (w/c)               (w/c)     (w/c)     (w/c)
                                     Art &Design             4/11      11/64      19/65     77.4      5/1       8/70      14/70     83.3       4/2       6/72     12/72     85.7
                                        Art                   2/2       2/14      4/14      77.8      1/0       1/16      2/16      88.9       0/1       0/17      1/17     94.4
                                        Art Theory            1/2       2/18      5/18      78.3      1/1       2/19      4/19      82.6       1/1       3/18      5/18     78.3
                                        Design                1/4       4/10      5/10      66.7      1/0       2/12      3/12      80.0       1/0       1/13      2/13     86.7
                                        Music                 0/3       3/22      6/22      78.6      2/0       3/23      5/23      82.1       2/0       2/24      4/24     85.7
                                     Business                4/11      11/73      21/74     77.9      4/1       6/84      11/84     88.4       2/3       5/85     10/85     89.5
                                        Accounting            0/3       3/19      6/19      76.0      2/0       1/22      3/22      88.0       0/2       1/22      3/22     88.0
                                        Economics             0/4       4/13      5/13      72.2      1/0       1/16      2/16      88.9       1/0       0/17      1/17     94.4
                                        Finance               1/2       2/15      4/15      78.9      0/0       1/18      1/18      94.7       0/0       2/17      2/17     89.5
                                        Manage                2/2       2/8        4/9      69.2      1/1       2/9        4/9      69.2       1/1       2/9       4/9      69.2
                                        Marketing             1/0       0/18      2/18      90.0      0/0       1/19      1/19      95.0       0/0       0/20      0/20    100.0
                                     Science                 3/12      12/72      20/73     78.5      3/1      10/79      14/79     84.9       3/1       9/80     13/80     86.0
                                        Biology               0/5       5/13      7/13      65.0      2/0       5/13      7/13      65.0       1/1       5/13      7/13     65.0
                                        Chemistry             0/3       3/14      4/14      77.8      0/1       2/15      3/15      83.3       1/0       2/15      3/15     83.3
                                        Geography             2/0       0/8        2/8      80.0      0/0       1/9        1/9      90.0       0/0       1/9       1/9      90.0
                                        Math                  1/4       4/14      7/14      66.7      1/0       1/19      2/19      90.5       1/0       1/19      2/19     90.5
                                        Physics               0/0       0/23      1/23      95.8      0/0       1/23      1/23      95.8       0/0       0/24      0/24    100.0
                                     Health & Med.           3/22      22/58      32/60     65.2      9/0      17/66      25/67     72.8       5/4       6/77     14/78     84.8
                                        Basic Med.            2/2       2/9       4/10      71.4      1/0       2/11      3/11      78.6       1/0       1/12      2/12     85.7
                                        Clinical Med.         1/6       6/8        9/9      50.0      3/0       5/10      7/11      61.1       2/1       1/14      3/15     83.3
                                        Diagnostics           0/6       6/14      9/14      60.9      3/0       4/16      7/16      69.6       2/1       2/18      5/18     78.3
                                        Pharmacy              0/3       3/13      4/13      76.5      1/0       3/13      4/13      76.5       0/1       1/15      2/15     88.2
                                        Public Health         0/5       5/14      6/14      70.0      1/0       3/16      4/16      80.0       0/1       1/18      2/18     90.0
                                     Humani. &Soc.           5/14      14/40      24/42     63.6      3/5       9/49      16/50     75.8       5/3       5/53     12/54     81.8
                                        History               1/4       4/4        6/4      40.0      1/0       1/8        2/8      80.0       0/1       1/8       2/8      80.0
                                        Literature            2/2       2/15      5/16      76.2      1/2       2/16      5/16      76.2       2/1       0/18      3/18     85.7
                                        Sociology             0/5       5/8        7/9      56.3      1/2       4/9       6/10      62.5       2/1       2/11      4/12     75.0
                                        Psychology            2/3       3/13      6/13      68.4      0/1       2/16      3/16      84.2       1/0       2/16      3/16     84.2
                                     Tech&Eng.               3/25      25/106    39/108     73.5      9/4     20/114     32/115     78.2       6/7     10/124    23/124     84.4
                                        Agriculture           0/6       6/10      9/10      52.6      1/2       5/11      8/11      57.9       2/1       2/14      5/14     73.7
                                        Archi. Eng.           2/2       2/17      5/17      77.3      1/1       2/18      4/18      81.8       1/1       0/20      2/20     90.9
                                        Computer Sci.         0/0       0/17      2/17      89.5      1/0       1/17      2/17      89.5       0/1       2/16      3/16     84.2
                                        Electronics           0/0       0/8        1/8      88.9      0/0       0/9        0/9     100.0       0/0       0/9       0/9     100.0
                                        Energy Power          0/4       4/20      6/20      76.9      2/0       4/20      6/20      76.9       1/1       1/23      3/23     88.5
                                        Materials             0/3       3/22      5/22      81.5      1/1       3/22      5/22      81.5       1/1       2/23      4/23     85.2
                                        Mechanical Eng.      1/10      10/12      13/12     48.0      3/0       5/17      8/17      68.0       1/2       3/19      6/19     76.0
                                     Overall                 22/95     95/413    156/421    73.0    33/12     70/462    111/466     80.8     25/20     41/491    84/493     85.4
                          Table 5: Detailed breakdown of estimated human performance on MMMU-Pro for low, medium, and high
                          performance levels across various disciplines. Abbreviations: "w/o Sol." (without Solution), "w/ Sol." (with
                          Solution), "Est." (Estimate), and "w/c" (number of wrong/correct answers).
                                                                                                       15150
