                                          Test-Time Learning for Large Language Models
                         Table 16. Comparison of experimental results on the InstructionWild dataset of InstructionBench.
                 Method              BERTScore↑    BLEURT↑     BLEU↑     Rouge-1 ↑   Rouge-2 ↑   Rouge-L↑
                 Llama3.2-3B-Instruct  0.7019       -0.4837     0.0337     0.2796     0.0942      0.1699
                   •Tent               0.5409       -1.2307     0.0018     0.0341     0.0008      0.0341
                   •EATA               0.4537       -1.3202     0.0011     0.0123     0.0006      0.0122
                   •TLM(Ours)          0.7044       -0.4503     0.0506     0.3104     0.1136      0.2004
                 Llama3-8B-Instruct    0.7071       -0.4469     0.0363     0.2846     0.0976      0.1735
                   •Tent               0.6092       -0.5438     0.0148     0.0933     0.0317      0.0910
                   •EATA               0.6455       -0.5337     0.0133     0.0956     0.0452      0.1125
                   •TLM(Ours)          0.7133       -0.3669     0.0554     0.3206     0.1207      0.2050
                 Llama2-13B-chat       0.7025       -0.4040     0.0464     0.3032     0.1062      0.1860
                   •Tent               0.5390       -0.6001     0.0253     0.1294     0.0464      0.1260
                   •EATA               0.5869       -0.7337     0.0159     0.1129     0.0295      0.0947
                   •TLM(Ours)          0.7056       -0.3792     0.0499     0.3122     0.1119      0.1926
                 Qwen2.5-7B-Instruct   0.7071       -0.4295     0.0436     0.3116     0.1070      0.1875
                   •Tent               0.6865       -1.0060     0.0153     0.1829     0.1232      0.1615
                   •EATA               0.6911       -0.9889     0.0157     0.1830     0.1233      0.1615
                   •TLM(Ours)          0.7261       -0.2746     0.0813     0.3806     0.1498      0.2472
                                                            27
