year,title,url
2021,PCT: Point Cloud Transformer,https://link.springer.com/article/10.1007/s41095-021-0229-5
2025,PMFormer: Point mask transformer for outdoor point cloud semantic segmentation,https://www.sciopen.com/article/10.26599/CVM.2025.9450388
2024,POS-BERT: Point cloud one-stage BERT pre-training,https://www.sciencedirect.com/science/article/abs/pii/S0957417423030658
2021,PROGRES: A large-scale benchmark for few-shot program induction and synthesis,https://proceedings.mlr.press/v139/alet21a.html
Year unknown,PSB / PSB2,https://www.cs.hamilton.edu/~thelmuth/Pubs/2015-GECCO-benchmark-suite.pdf
2025,PV-DT3D: Point-voxel dual transformer for LiDAR 3D object detection,https://link.springer.com/article/10.1007/s11801-025-3134-9
2025,PanSt3R: Multi-view Consistent Panoptic Segmentation,https://openaccess.thecvf.com/content/ICCV2025/papers/Zust_PanSt3R_Multi-view_Consistent_Panoptic_Segmentation_ICCV_2025_paper.pdf
2021,Point 4D Transformer Networks for Spatio-Temporal Modeling in Point Cloud Videos (P4Transformer),https://openaccess.thecvf.com/content/CVPR2021/papers/Fan_Point_4D_Transformer_Networks_for_Spatio-Temporal_Modeling_in_Point_Cloud_CVPR_2021_paper.pdf
2021,Point 4D Transformer Networks for Spatio-Temporal Modeling in Point Cloud Videos (P4Transformer),https://openaccess.thecvf.com/content/CVPR2021/papers/Fan_Point_4D_Transformer_Networks_for_Spatio-Temporal_Modeling_in_Point_Cloud_CVPR_2021_paper.pdf
2022,Point Primitive Transformer for Long-Term 4D Point Cloud Video Understanding,https://www.ecva.net/papers/eccv_2022/papers_ECCV/papers/136890018.pdf
2020,Point Transformer,https://openaccess.thecvf.com/content/ICCV2021/papers/Zhao_Point_Transformer_ICCV_2021_paper.pdf
2021,Point Transformer,https://openaccess.thecvf.com/content/ICCV2021/papers/Zhao_Point_Transformer_ICCV_2021_paper.pdf
2024,"Point Transformer V3: Simpler, Faster, Stronger",https://openaccess.thecvf.com/content/CVPR2024/papers/Wu_Point_Transformer_V3_Simpler_Faster_Stronger_CVPR_2024_paper.pdf
2024,"Point Transformer V3: Simpler, Faster, Stronger",https://openaccess.thecvf.com/content/CVPR2024/papers/Wu_Point_Transformer_V3_Simpler_Faster_Stronger_CVPR_2024_paper.pdf
2024,PointRegion: Transformer based 3D tooth segmentation via point cloud processing,https://pubmed.ncbi.nlm.nih.gov/39557955/
2000,Policy Gradient Methods for Reinforcement Learning with Function Approximation,https://papers.nips.cc/paper/1713-policy-gradient-methods-for-reinforcement-learning-with-function-approximation
1999,Predictive coding in the visual cortex,https://pmc.ncbi.nlm.nih.gov/articles/PMC4311762/
1999,Predictive coding in the visual cortex: a functional interpretation,https://pubmed.ncbi.nlm.nih.gov/10195184/
