year,title,url,count
2024,Fixed Point Diffusion Models (FPDM),https://arxiv.org/html/2401.08741v1,1
2024,Machine Learning for Modular Multiplication,https://arxiv.org/html/2402.19254v1,1
2025,DynamicCity,https://arxiv.org/html/2410.18084v3,1
2024,A 2D nGPT Model for ARC Prize,https://arxiv.org/html/2412.04604v2,1
2025,MathClean: A Benchmark for Synthetic Mathematical Data,https://arxiv.org/html/2502.19058v1,1
2025,SparseVoxFormer: Sparse Voxel-based Transformer for Multi-modal 3D Object Detection,https://arxiv.org/html/2503.08092v1,1
2025,SparseVoxFormer: Sparse Voxel-based Transformer for Multi-modal 3D Object Detection,https://arxiv.org/html/2503.08092v1,1
2025,ChartQAPro: A More Diverse and Challenging Benchmark for Real-World Chart QA,https://arxiv.org/html/2504.05506v1,1
2025,"SRBench update (""next generation"" SRBench)",https://arxiv.org/html/2505.03977v1,1
2025,Towards the Next Generation of Symbolic Regression Benchmarks,https://arxiv.org/html/2505.03977v1,1
2025,ARC-NCA: Towards Developmental Solutions to the Abstraction and Reasoning Corpus,https://arxiv.org/html/2505.08778v1,1
2025,TReB: A Comprehensive Benchmark for Evaluating Table Reasoning Evolution,https://arxiv.org/html/2506.18421v1,1
2025,Hierarchical Reasoning Model (HRM),https://arxiv.org/html/2506.21734v1,1
2025,Learning Modular Exponentiation with Transformers,https://arxiv.org/html/2506.23679v1,1
2025,Efficiently Allocating Test-Time Compute for LLM Agents,https://arxiv.org/html/2509.03581v1,1
2025,Streaming 4D Panoptic Segmentation via Dual Threads,https://arxiv.org/html/2510.17664v1,1
2025,DT-NVS: Diffusion Transformers for Novel View Synthesis,https://arxiv.org/html/2511.08823v1,1
2025,"Autoregressive Modeling as Iterative Latent Equilibrium (Equilibrium Transformers, EqT)",https://arxiv.org/html/2511.21882v1,1
2025,The Art of Scaling Test-Time Compute for LLMs,https://arxiv.org/html/2512.02008v1,1
