year,title,url,count
2023,A Length-Extrapolatable Transformer (XPOS / LeX),https://aclanthology.org/2023.acl-long.816.pdf,2

2025,CABLE: Context-aware Biases for Length Extrapolation,https://aclanthology.org/2025.emnlp-main.1545.pdf,1
2025,Context-aware Biases for Length Extrapolation (CABLE),https://aclanthology.org/2025.emnlp-main.1545.pdf,1

2017,Neural Program Meta-Induction,https://arxiv.org/pdf/1710.04157.pdf,2

2024,Fixed Point Diffusion Models (FPDM),https://arxiv.org/pdf/2401.08741.pdf,1
2024,Fixed Point Diffusion Models,https://openaccess.thecvf.com/content/CVPR2024/papers/Bai_Fixed_Point_Diffusion_Models_CVPR_2024_paper.pdf,1

2024,The Surprising Effectiveness of Test-Time Training for Few-Shot Learning,https://arxiv.org/pdf/2411.07279.pdf,2

2025,SparseVoxFormer: Sparse Voxel-based Transformer for Multi-modal 3D Object Detection,https://arxiv.org/pdf/2503.08092.pdf,2

2025,Towards the Next Generation of Symbolic Regression Benchmarks (SRBench),https://arxiv.org/pdf/2505.03977.pdf,2

2020,Generative Pretraining from Pixels (iGPT),https://cdn.openai.com/papers/Generative_Pretraining_from_Pixels_V2.pdf,3

2021,Point 4D Transformer Networks for Spatio-Temporal Modeling in Point Cloud Videos (P4Transformer),https://openaccess.thecvf.com/content/CVPR2021/papers/Fan_Point_4D_Transformer_Networks_for_Spatio-Temporal_Modeling_in_Point_Cloud_CVPR_2021_paper.pdf,2

2022,LIFT: Learning 4D LiDAR Image Fusion Transformer for 3D Object Detection,https://openaccess.thecvf.com/content/CVPR2022/papers/Zeng_LIFT_Learning_4D_LiDAR_Image_Fusion_Transformer_for_3D_Object_CVPR_2022_paper.pdf,2

2024,DriveWorld: 4D Pre-trained Scene Understanding via World Models for Autonomous Driving,https://openaccess.thecvf.com/content/CVPR2024/papers/Min_DriveWorld_4D_Pre-trained_Scene_Understanding_via_World_Models_for_Autonomous_CVPR_2024_paper.pdf,2

2024,"Point Transformer V3: Simpler, Faster, Stronger",https://openaccess.thecvf.com/content/CVPR2024/papers/Wu_Point_Transformer_V3_Simpler_Faster_Stronger_CVPR_2024_paper.pdf,2

2025,Zero-Shot 4D LiDAR Panoptic Segmentation (SAL-4D),https://openaccess.thecvf.com/content/CVPR2025/papers/Zhang_Zero-Shot_4D_Lidar_Panoptic_Segmentation_CVPR_2025_paper.pdf,2

2021,Point Transformer (PT),https://openaccess.thecvf.com/content/ICCV2021/papers/Zhao_Point_Transformer_ICCV_2021_paper.pdf,2

2023,DiffusionDet: Diffusion Model for Object Detection,https://openaccess.thecvf.com/content/ICCV2023/papers/Chen_DiffusionDet_Diffusion_Model_for_Object_Detection_ICCV_2023_paper.pdf,1
2021,MaskFormer,https://openaccess.thecvf.com/content/ICCV2023/papers/Chen_DiffusionDet_Diffusion_Model_for_Object_Detection_ICCV_2023_paper.pdf,1

2017,DeepCoder: Learning to Write Programs,https://openreview.net/pdf?id=ByldLrqlx,2

2018,Recurrent Relational Networks (RRN),https://papers.neurips.cc/paper/7597-recurrent-relational-networks.pdf,1
2018,Recurrent Relational Networks,https://proceedings.neurips.cc/paper_files/paper/2018/file/b9f94c77652c9a76fc8a442748cd54bd-Paper.pdf,1

1948,A Mathematical Theory of Communication,https://people.math.harvard.edu/~ctm/home/text/others/shannon/entropy/entropy.pdf,2

2024,SRBench++: principled benchmarking of symbolic regression,https://pmc.ncbi.nlm.nih.gov/articles/PMC12321164/pdf/nihms-2053059.pdf,2

2020,SE(3)-Transformers: 3D Roto-Translation Equivariant Attention Networks,https://proceedings.neurips.cc/paper/2020/hash/15231a7ce4ba789d13b722cc5c955834-Abstract.html,2

2012,ImageNet Classification with Deep Convolutional Neural Networks (AlexNet),https://proceedings.neurips.cc/paper/4824-imagenet-classification-with-deep-convolutional-neural-networks.pdf,1
2012,ImageNet Classification with Deep Convolutional Neural Networks (AlexNet),https://proceedings.neurips.cc/paper_files/paper/2012/file/c399862d3b9d6b76c8436e924a68c45b-Paper.pdf,1

2024,Transformers Can Do Arithmetic with the Right Embeddings,https://proceedings.neurips.cc/paper_files/paper/2024/file/c35986bc1ee29b31c1011481b77fe540-Paper-Conference.pdf,2

2012,Learning Semantic String Transformations from Examples,https://vldb.org/pvldb/vol5/p740_rishabhsingh_vldb2012.pdf,2

2015,Human-level Control through Deep Reinforcement Learning (DQN),https://web.stanford.edu/class/psych209/Readings/MnihEtAlHassibis15NatureControlDeepRL.pdf,2

2013,Syntax-Guided Synthesis (SyGuS),https://www.cis.upenn.edu/~alur/SyGuS13.pdf,2

2015,"General Program Synthesis Benchmark Suite (PSB / ""PSB1"")",https://www.cs.hamilton.edu/~thelmuth/Pubs/2015-GECCO-benchmark-suite.pdf,1
2015,General Program Synthesis Benchmark Suite (PSB / PSB1),https://www.cs.hamilton.edu/~thelmuth/Pubs/2015-GECCO-benchmark-suite.pdf,1
2015,General Program Synthesis Benchmark Suite (PSB),https://www.cs.hamilton.edu/~thelmuth/Pubs/2015-GECCO-benchmark-suite.pdf,1

2024,OccWorld: Learning a 3D Occupancy World Model for Autonomous Driving,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/02024.pdf,2

2020,"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model (MuZero)",https://www.nature.com/articles/s41586-020-03051-4,2

2016,BlinkFill: Semi-supervised Programming By Example for Syntactic String Transformations,https://www.vldb.org/pvldb/vol9/p816-singh.pdf,2
