year,title,url,count
1960,A New Approach to Linear Filtering and Prediction Problems,https://asmedigitalcollection.asme.org/fluidsengineering/article/82/1/35/397706/A-New-Approach-to-Linear-Filtering-and-Prediction,1
1961,New Results in Linear Filtering and Prediction Theory,https://asmedigitalcollection.asme.org/fluidsengineering/article/83/1/95/426820/New-Results-in-Linear-Filtering-and-Prediction,1
2024,A Survey on Evaluation of Large Language Models,https://dl.acm.org/doi/full/10.1145/3641289,1
2025,Enhancing Modern SAT Solver With Machine Learning,https://dl.acm.org/doi/full/10.1145/3716368.3735251,1
2024,Simultaneous Instance Pooling & Bag Selection for MIL using ViTs,https://doi.org/10.1007/s00521-024-09417-3,1
2025,Adaptive Patch Selection for ViTs via Reinforcement Learning,https://doi.org/10.1007/s10489-025-06516-z,1
2025,RetentiveBEV: BEV transformer for visual 3D object detection,https://journals.sagepub.com/doi/10.1177/01423312241308367,1
1992,Simple Statistical Gradient-Following Algorithms for Connectionist Reinforcement Learning (REINFORCE),https://link.springer.com/article/10.1007/BF00992696,1
1995,Support-Vector Networks,https://link.springer.com/article/10.1007/BF00994018,1
1992,Technical Note: Q-learning,https://link.springer.com/article/10.1023/A%3A1022676722315,1
2005,Neural Fitted Q Iteration (NFQ),https://link.springer.com/chapter/10.1007/11564096_32,1
2024,Enhanced Scene Understanding on 4D Point Cloud,https://ojs.aaai.org/index.php/AAAI/article/view/28045,1
2010,Relative Entropy Policy Search (REPS),https://ojs.aaai.org/index.php/AAAI/article/view/7727,1
2025,Relation3D: Enhancing Relation Modeling for Point Cloud Instance Segmentation,https://openaccess.thecvf.com/content/CVPR2025/html/Lu_Relation3D__Enhancing_Relation_Modeling_for_Point_Cloud_Instance_Segmentation_CVPR_2025_paper.html,1
2016,Neural Module Networks (NMN),https://openaccess.thecvf.com/content_cvpr_2016/html/Andreas_Neural_Module_Networks_CVPR_2016_paper.html,1
2022,Tackling the Abstraction and Reasoning Corpus with Vision Transformers: the ViTARC Architecture,https://openreview.net/forum?id=0gOQeSHNX1,1
2019,Differentiable Convex Optimization Layers,https://openreview.net/forum?id=1EuxRTe0WN,1
2025,Wavelet-based Positional Representation for Long Context,https://openreview.net/forum?id=OhauMUNW8T,1
2019,Dream to Control: Learning Behaviors by Latent Imagination (Dreamer),https://openreview.net/forum?id=S1lOTC4tDS,1
2024,LTD-Bench: Evaluating Large Language Models by Letting Them Draw,https://openreview.net/forum?id=TG5rvKyEbu,1
2025,Arithmetic-Bench: Evaluating Multi-Step Reasoning in LLMs through Basic Arithmetic Operations,https://openreview.net/forum?id=ae6bKeffGZ,1
2025,Test-Time Learning for Large Language Models (TLM / TTL),https://openreview.net/forum?id=iCYbIaGKSR&noteId=ScPdA3KZCL,1
2025,Reflection System for the Abstraction and Reasoning Corpus,https://openreview.net/forum?id=kRFwzuv0ze,1
2019,Recurrent Experience Replay in Distributed Reinforcement Learning (R2D2),https://openreview.net/forum?id=r1lyTjAqYX,1
2000,Policy Gradient Methods for Reinforcement Learning with Function Approximation,https://papers.nips.cc/paper/1713-policy-gradient-methods-for-reinforcement-learning-with-function-approximation,1
1999,Actor-Critic Algorithms,https://papers.nips.cc/paper/1786-actor-critic-algorithms,1
2025,LVSM: A Large View Synthesis Model with Minimal 3D Inductive Bias,https://proceedings.iclr.cc/paper_files/paper/2025/hash/9676c5283df26cabca412ca66b164a7d-Abstract-Conference.html,1
2020,Agent57: Outperforming the Atari Human Benchmark,https://proceedings.mlr.press/v119/badia20a.html,1
2021,PROGRES: A large-scale benchmark for few-shot program induction and synthesis,https://proceedings.mlr.press/v139/alet21a.html,1
2021,DeiT: Data-efficient Image Transformers,https://proceedings.mlr.press/v139/touvron21a.html,1
2014,Deterministic Policy Gradient Algorithms,https://proceedings.mlr.press/v32/silver14.html,1
2020,SE(3)-Transformers: 3D Roto-Translation Equivariant Attention Networks,https://proceedings.neurips.cc/paper/2020/hash/15231a7ce4ba789d13b722cc5c955834-Abstract.html,2
2021,CoAtNet: Marrying Convolution and Attention,https://proceedings.neurips.cc/paper/2021/hash/20568692db622456cc42a2e853ca21f8-Abstract.html,1
1990,Cellular and circuit basis of working memory in prefrontal cortex of nonhuman primates (GoldmanRakic90),https://www.sciencedirect.com/science/article/pii/S0079612308626886/pdf?md5=21ef5a5f718b876e350f35788a65d986&pid=1-s2.0-S0079612308626886-main.pdf,1
1995,Cellular basis of working memory (GoldmanRakic95),https://www.sciencedirect.com/science/article/pii/0896627395903046/pdf?_valck=1&md5=ed5ba32082b957d1d233d356c4203fcb&pid=1-s2.0-0896627395903046-main.pdf,1
2020,LogiQA: A Challenge Dataset for Machine Reading Comprehension with Logical Reasoning,https://www.ijcai.org/proceedings/2020/501,1
1957,A Markovian Decision Process,https://www.jstor.org/stable/24900506,1
1986,Learning Representations by Back-Propagating Errors,https://www.nature.com/articles/323533a0,1
2005,Microstructure of a spatial map in the entorhinal cortex,https://www.nature.com/articles/nature03721,1
2016,Differentiable Neural Computer (DNC),https://www.nature.com/articles/nature20101,1
2020,"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model (MuZero)",https://www.nature.com/articles/s41586-020-03051-4,2
2025,Mastering diverse control tasks through world models (DreamerV3),https://www.nature.com/articles/s41586-025-08744-2,1
2020,AI Feynman,https://www.science.org/doi/10.1126/sciadv.aay2631,1
2025,Graph Perceiver IO,https://www.sciencedirect.com/science/article/abs/pii/S0031320325005497,1
2025,DCT: Dynamic Clustering Transformer for LiDAR-Based 3D,https://www.sciencedirect.com/science/article/abs/pii/S0031320325011069,1
2024,POS-BERT: Point cloud one-stage BERT pre-training,https://www.sciencedirect.com/science/article/abs/pii/S0957417423030658,1
1999,A Framework for Temporal Abstraction in Reinforcement Learning,https://www.sciencedirect.com/science/article/pii/S0004370299000521,1
2008,Natural Actor-Critic,https://www.sciencedirect.com/science/article/pii/S0925231208000532,1
2024,Implicit Factorized Transformer (IFactFormer),https://www.sciencedirect.com/science/article/pii/S2095034924000382,1
2024,DeLiVoTr: Deep and Light-weight Voxel Transformer for 3D Object Detection,https://www.sciencedirect.com/science/article/pii/S2667305324000371,1
