year,title,url,count
2021,PCT: Point cloud transformer (PCT),https://www.sciopen.com/article_pdf/10.1007/s41095-021-0229-5.pdf,1
2021,Point 4D Transformer Networks for Spatio-Temporal Modeling in Point Cloud Videos (P4Transformer),https://openaccess.thecvf.com/content/CVPR2021/papers/Fan_Point_4D_Transformer_Networks_for_Spatio-Temporal_Modeling_in_Point_Cloud_CVPR_2021_paper.pdf,2
2021,Point Transformer (PT),https://openaccess.thecvf.com/content/ICCV2021/papers/Zhao_Point_Transformer_ICCV_2021_paper.pdf,2
2022,Point Primitive Transformer for Long-Term 4D Point Cloud Video Understanding (PPTr),https://www.ecva.net/papers/eccv_2022/papers_ECCV/papers/136890018.pdf,1
2023,Transformer-based Point Cloud Generation Network,https://dl.acm.org/doi/pdf/10.1145/3581783.3612226,1
2024,Point cloud semantic segmentation with adaptive spatial structure graph transformer (ASGFormer),https://www.sysuzxc.site/paper/2024_Point%20cloud%20semantic%20segmentation%20with%20adaptive%20spatial%20structure%20graph%20transformer.pdf,1
2024,OneFormer3D: One Transformer for Unified Point Cloud Segmentation (OneFormer3D),https://openaccess.thecvf.com/content/CVPR2024/papers/Kolodiazhnyi_OneFormer3D_One_Transformer_for_Unified_Point_Cloud_Segmentation_CVPR_2024_paper.pdf,1
2024,"Point Transformer V3: Simpler, Faster, Stronger",https://openaccess.thecvf.com/content/CVPR2024/papers/Wu_Point_Transformer_V3_Simpler_Faster_Stronger_CVPR_2024_paper.pdf,2
2024,Transformer based 3D tooth segmentation via point cloud region partition (PointRegion),https://www.nature.com/articles/s41598-024-79485-x.pdf,1
2025,BWFormer: Building Wireframe Reconstruction from Airborne LiDAR Point Cloud with Transformer (BWFormer),https://openaccess.thecvf.com/content/CVPR2025/papers/Liu_BWFormer_Building_Wireframe_Reconstruction_from_Airborne_LiDAR_Point_Cloud_with_CVPR_2025_paper.pdf,1
2025,Point mask transformer for outdoor point cloud semantic segmentation (PMFormer),https://www.sciopen.com/article_pdf/1942505668075868162.pdf,1
2025,Point-voxel dual transformer for LiDAR 3D object detection (PV-DT3D),https://www.researching.cn/ArticlePdf/m00050/2025/21/9/6.pdf,1
