task,input,in_dimension,in_dynamic,attention_dynamic,state_dynamic,output,out_dimension,out_dynamic
Language modeling (next-token prediction / perplexity),text tokens (inferred),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,next-token predictions (text tokens) (inferred),1D (t) (inferred),Capped (inferred)
Needle-in-a-haystack retrieval (standard),text tokens (inferred),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,retrieved values (text tokens) (inferred),1D (t) (inferred),Not specified in the paper.
Needle-in-a-haystack retrieval (multi-query),text tokens (inferred),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,retrieved values (text tokens) (inferred),1D (t) (inferred),Not specified in the paper.
Needle-in-a-haystack retrieval (multi-key),text tokens (inferred),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,retrieved values (text tokens) (inferred),1D (t) (inferred),Not specified in the paper.
Needle-in-a-haystack retrieval (multi-value),text tokens (inferred),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,retrieved values (text tokens) (inferred),1D (t) (inferred),Not specified in the paper.
Long-context language modeling task (MultiFieldQA),text tokens (inferred),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,task response (text tokens) (inferred),1D (t) (inferred),Not specified in the paper.
Long-context language modeling task (MuSiQue),text tokens (inferred),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,task response (text tokens) (inferred),1D (t) (inferred),Not specified in the paper.
Long-context language modeling task (GovReport),text tokens (inferred),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,task response (text tokens) (inferred),1D (t) (inferred),Not specified in the paper.
Long-context language modeling task (LCC),text tokens (inferred),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,task response (text tokens) (inferred),1D (t) (inferred),Not specified in the paper.
Multiple-choice science QA (ARC-E),text tokens (inferred),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,choice label (selected option) (inferred),0D (inferred),Fixed (inferred)
Multiple-choice science QA (ARC-C),text tokens (inferred),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,choice label (selected option) (inferred),0D (inferred),Fixed (inferred)
Multiple-choice sentence completion (HellaSwag),text tokens (inferred),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,choice label (selected option) (inferred),0D (inferred),Fixed (inferred)
Multiple-choice open-book QA (OpenBookQA),text tokens (inferred),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,choice label (selected option) (inferred),0D (inferred),Fixed (inferred)
Multiple-choice physical commonsense reasoning (PIQA),text tokens (inferred),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,choice label (selected option) (inferred),0D (inferred),Fixed (inferred)
Multiple-choice coreference/commonsense (WinoGrande),text tokens (inferred),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,choice label (selected option) (inferred),0D (inferred),Fixed (inferred)
