task,input,in_dimension,in_dynamic,attention_dynamic,state_dynamic,output,out_dimension,out_dynamic
predicate learning (predecessor relation),symbolic arithmetic facts (`zero/1`; `succ/2`),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,predecessor relation (target predicate),Not specified in the paper.,Not specified in the paper.
predicate learning (even predicate; even/odd),symbolic arithmetic facts (`zero/1`; `succ/2`),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,even predicate (target),Not specified in the paper.,Not specified in the paper.
predicate learning (even predicate; even/succ2),symbolic arithmetic facts (`zero/1`; `succ/2`),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,even predicate (target),Not specified in the paper.,Not specified in the paper.
predicate learning (less-than relation),symbolic arithmetic facts (`zero/1`; `succ/2`),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,less-than relation (target),Not specified in the paper.,Not specified in the paper.
predicate learning (Fizz predicate),symbolic arithmetic facts (`zero/1`; `succ/2`),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Fizz predicate (divisible by 3),Not specified in the paper.,Not specified in the paper.
predicate learning (Buzz predicate),symbolic arithmetic facts (`zero/1`; `succ/2`; `pred1/2`; `pred2/2`),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Buzz predicate (divisible by 5),Not specified in the paper.,Not specified in the paper.
predicate learning (member relation),symbolic list facts (`cons/2`; `value/2`),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,member relation (target),Not specified in the paper.,Not specified in the paper.
predicate learning (length relation),symbolic list facts (`cons/2`; `value/2`),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,length relation (target),Not specified in the paper.,Not specified in the paper.
predicate learning (son-of relation),symbolic family facts (`father/2`; `brother/2`; `sister/2`),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,son-of relation (target),Not specified in the paper.,Not specified in the paper.
predicate learning (grandparent relation),symbolic family facts (`father/2`; `mother/2`),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,grandparent relation (target),Not specified in the paper.,Not specified in the paper.
predicate learning (husband-of relation),symbolic family facts (`father/2`; `daughter/2`; `brother/2`),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,husband-of relation (target),Not specified in the paper.,Not specified in the paper.
