task,input,in_dimension,in_dynamic,attention_dynamic,state_dynamic,output,out_dimension,out_dynamic
"Image classification (MNIST)","images (MNIST handwritten digits)","2D (x, y) (inferred)","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","class labels (inferred)","0D (inferred)","Not specified in the paper."
"Image classification (SVHN)","images (Street View House Numbers)","2D (x, y) (inferred)","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","class labels (inferred)","0D (inferred)","Not specified in the paper."
"Image classification (CIFAR10)","images (CIFAR10)","2D (x, y) (inferred)","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","class labels (inferred)","0D (inferred)","Not specified in the paper."
"Image classification (ImageNet)","images (ImageNet)","2D (x, y) (inferred)","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","class labels (inferred)","0D (inferred)","Not specified in the paper."
"Image autoencoding (SVHN autoencoder)","images (SVHN)","2D (x, y) (inferred)","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","images (reconstructions) (inferred)","2D (x, y) (inferred)","Not specified in the paper."
"Variational autoencoding (SVHN VAE)","images (SVHN)","2D (x, y) (inferred)","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","images (reconstructions) (inferred)","2D (x, y) (inferred)","Not specified in the paper."
"Language modeling (Billion Word, autoregressive prediction)","tokens (20-token sequences)","1D (t) (inferred)","Fixed (20-token sequences)","Not specified in the paper.","Constructed (inferred)","token (last-token prediction) (inferred)","0D (inferred)","Fixed (inferred)"
"Reinforcement learning control (Atari: Alien)","observations (Atari game)","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","actions (inferred)","Not specified in the paper.","Not specified in the paper."
"Reinforcement learning control (Atari: Beamrider)","observations (Atari game)","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","actions (inferred)","Not specified in the paper.","Not specified in the paper."
"Reinforcement learning control (Atari: Breakout)","observations (Atari game)","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","actions (inferred)","Not specified in the paper.","Not specified in the paper."
"Reinforcement learning control (Atari: Pong)","observations (Atari game)","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","actions (inferred)","Not specified in the paper.","Not specified in the paper."
"Reinforcement learning control (Atari: Qbert)","observations (Atari game)","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","actions (inferred)","Not specified in the paper.","Not specified in the paper."
"Reinforcement learning control (Atari: Seaquest)","observations (Atari game)","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","actions (inferred)","Not specified in the paper.","Not specified in the paper."
"Reinforcement learning control (Atari: Space Invaders)","observations (Atari game)","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","actions (inferred)","Not specified in the paper.","Not specified in the paper."
"Reinforcement learning control (Dota 1v1)","observations (Dota game)","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","actions (inferred)","Not specified in the paper.","Not specified in the paper."
"Reinforcement learning control (Dota 5v5)","observations (Dota game)","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","actions (inferred)","Not specified in the paper.","Not specified in the paper."
