task,input,in_dimension,in_dynamic,attention_dynamic,state_dynamic,output,out_dimension,out_dynamic
Control (cart-pole swing-up),state of the system,0D (inferred),Fixed (inferred),Static (inferred),Direct (inferred),actions,0D (inferred),Fixed (inferred)
Control (reacher target reaching),state of the system,0D (inferred),Fixed (inferred),Static (inferred),Direct (inferred),actions,0D (inferred),Fixed (inferred)
Control (peg insertion),state of the system,0D (inferred),Fixed (inferred),Static (inferred),Direct (inferred),actions,0D (inferred),Fixed (inferred)
Control (gripper manipulation),state of the system,0D (inferred),Fixed (inferred),Static (inferred),Direct (inferred),actions,0D (inferred),Fixed (inferred)
Control (mobile gripper manipulation),state of the system,0D (inferred),Fixed (inferred),Static (inferred),Direct (inferred),actions,0D (inferred),Fixed (inferred)
Control (canada2d ball hitting),state of the system,0D (inferred),Fixed (inferred),Static (inferred),Direct (inferred),actions,0D (inferred),Fixed (inferred)
Control (cheetah locomotion),state of the system,0D (inferred),Fixed (inferred),Static (inferred),Direct (inferred),actions,0D (inferred),Fixed (inferred)
Control (swimmer6 locomotion),state of the system,0D (inferred),Fixed (inferred),Static (inferred),Direct (inferred),actions,0D (inferred),Fixed (inferred)
Control (ant locomotion),state of the system,0D (inferred),Fixed (inferred),Static (inferred),Direct (inferred),actions,0D (inferred),Fixed (inferred)
Control (walker2d locomotion),state of the system,0D (inferred),Fixed (inferred),Static (inferred),Direct (inferred),actions,0D (inferred),Fixed (inferred)
