task,input,in_dimension,in_dynamic,attention_dynamic,state_dynamic,output,out_dimension,out_dynamic
Text completion / generation,Text prompt / tokens,1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Generated text,1D (t) (inferred),Not specified in the paper.
Text summarization,Text documents,1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Summary text,1D (t) (inferred),Not specified in the paper.
Text question answering / reading comprehension,Question + text passages / retrieved context,1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Answer text,1D (t) (inferred),Not specified in the paper.
Machine translation,Source-language text,1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Translated text,1D (t) (inferred),Not specified in the paper.
Math/science problem solving,Math/science problems (text),1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Solutions / answers (text),1D (t) (inferred),Not specified in the paper.
Code generation / completion,Natural-language function description / prompt,1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,"Code (e.g., Python)",1D (t) (inferred),Not specified in the paper.
Image captioning / description,Images,"2D (x, y) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Image descriptions (text),1D (t) (inferred),Not specified in the paper.
Visual question answering (natural images),Image + text question,"2D (x, y); 1D (t) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Short text answer,1D (t) (inferred),Not specified in the paper.
Visual transcription / OCR,Images/documents with text,"2D (x, y) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Transcribed text,1D (t) (inferred),Not specified in the paper.
Chart/infographic question answering,Charts/infographics + question,"2D (x, y); 1D (t) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Text answer,1D (t) (inferred),Not specified in the paper.
Multimodal reasoning on images/diagrams,Images/diagrams + text question,"2D (x, y); 1D (t) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Text answer,1D (t) (inferred),Not specified in the paper.
Image generation,Interleaved image + text prompt,"2D (x, y); 1D (t) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Generated images interleaved with text,"2D (x, y); 1D (t) (inferred)",Not specified in the paper.
Video captioning,Video (sequence of frames),"3D (x, y, t) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Text caption,1D (t) (inferred),Not specified in the paper.
Video question answering,Video + text question,"3D (x, y, t); 1D (t) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Text answer,1D (t) (inferred),Not specified in the paper.
Speech recognition (ASR),Audio,1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Transcribed text,1D (t) (inferred),Not specified in the paper.
Speech translation,Audio,1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Translated text,1D (t) (inferred),Not specified in the paper.
Multimodal audio-visual dialog / instruction following,Interleaved audio + images + text prompts,"2D (x, y); 1D (t) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Text responses / instructions,1D (t) (inferred),Not specified in the paper.
