task,input,in_dimension,in_dynamic,attention_dynamic,state_dynamic,output,out_dimension,out_dynamic
"masked data modeling (mask-then-predict)","masked images, texts, and image-text pairs","2D (x, y) (inferred); 1D (t) (inferred)","Not specified in the paper.","Static (inferred)","Direct (inferred)","masked tokens (text tokens or visual tokens)","1D (t) (inferred); 2D (x, y) (inferred)","Not specified in the paper."
"visual question answering","image and natural language question","2D (x, y) (inferred); 1D (t) (inferred)","Not specified in the paper.","Static (inferred)","Direct (inferred)","answer label (from candidates)","0D (inferred)","Not specified in the paper."
"visual reasoning","pair of images and textual description","2D (x, y) (inferred); 1D (t) (inferred)","Not specified in the paper.","Static (inferred)","Direct (inferred)","truth label","0D (inferred)","Not specified in the paper."
"image captioning","image","2D (x, y) (inferred)","Not specified in the paper.","Static (inferred)","Direct (inferred)","natural language caption","1D (t) (inferred)","Not specified in the paper."
"image-to-text retrieval","image","2D (x, y) (inferred)","Not specified in the paper.","Static (inferred)","Direct (inferred)","retrieved text","1D (t) (inferred)","Not specified in the paper."
"text-to-image retrieval","text","1D (t) (inferred)","Not specified in the paper.","Static (inferred)","Direct (inferred)","retrieved image","2D (x, y) (inferred)","Not specified in the paper."
"object detection","image","2D (x, y) (inferred)","Not specified in the paper.","Static (inferred)","Direct (inferred)","object detections (inferred)","2D (x, y) (inferred)","Not specified in the paper."
"instance segmentation","image","2D (x, y) (inferred)","Not specified in the paper.","Static (inferred)","Direct (inferred)","instance segmentation masks (inferred)","2D (x, y) (inferred)","Not specified in the paper."
"semantic segmentation","image","2D (x, y) (inferred)","Not specified in the paper.","Static (inferred)","Direct (inferred)","per-pixel labels","2D (x, y) (inferred)","Not specified in the paper."
"image classification","image","2D (x, y) (inferred)","Not specified in the paper.","Static (inferred)","Direct (inferred)","label for an image","0D (inferred)","Not specified in the paper."
