year,title,class,filename,url
1847,Methode generale pour la resolution des systemes d'equations simultanees,X-CONTEXT,Methode generale pour la resolution des systemes d'equations simultanees.pdf,https://ems.press/content/book-chapter-files/27368?nt=1
1908,Leçons sur le calcul des variations,X-CONTEXT,Leçons sur le calcul des variations.pdf,https://archive.org/details/leconssurlecalcu00hadarich
1913,"An Example of Statistical Investigation of the Text ""Eugene Onegin"" Concerning the Connection of Samples in Chains",X-CONTEXT,An Example of Statistical Investigation of the Text -Eugene Onegin- Concerning the Connection of Samples in Chains.pdf,https://nessie.ilab.sztaki.hu/~kornai/2021/KalmanCL/markov_1913.pdf
1924,Certain Factors Affecting Telegraph Speed,X-CONTEXT,Certain Factors Affecting Telegraph Speed.pdf,https://monoskop.org/images/9/9f/Nyquist_Harry_1924_Certain_Factors_Affecting_Telegraph_Speed.pdf
1928,Transmission of Information,X-CONTEXT,Transmission of Information.pdf,https://monoskop.org/images/a/a6/Hartley_Ralph_VL_1928_Transmission_of_Information.pdf
1935,Can Quantum-Mechanical Description of Physical Reality Be Considered Complete?,X-CONTEXT,Can Quantum-Mechanical Description of Physical Reality Be Considered Complete-.pdf,https://link.aps.org/doi/10.1103/PhysRev.47.777
1948,A Mathematical Theory of Communication,X-CONTEXT,A Mathematical Theory of Communication.pdf,https://people.math.harvard.edu/~ctm/home/text/others/shannon/entropy/entropy.pdf
1948,Cognitive maps in rats and men (Tolman48),X-CONTEXT,Cognitive maps in rats and men (Tolman48).pdf,https://personal.utdallas.edu/~tres/spatial/tolman.pdf
1949,The Organization of Behavior,X-CONTEXT,The Organization of Behavior.pdf,https://www.dengfanxin.cn/wp-content/uploads/2016/03/1949Hebb.pdf
1949,Translation (Weaver Memorandum),X-CONTEXT,Translation (Weaver Memorandum).pdf,https://www.mt-archive.net/50/Weaver-1949.pdf
1954,The Theory of Dynamic Programming,X-CONTEXT,The Theory of Dynamic Programming.pdf,https://www.rand.org/content/dam/rand/pubs/papers/2008/P550.pdf
1956,The magical number seven plus or minus two: some limits on our capacity for processing information (Miller56),X-CONTEXT,The magical number seven plus or minus two- some limits on our capacity for processing information (Miller56).pdf,https://labs.la.utexas.edu/gilden/files/2016/04/MagicNumberSeven-Miller1956.pdf
1957,A Markovian Decision Process,X-CONTEXT,A Markovian Decision Process.pdf,https://www.iumj.indiana.edu/IUMJ/FTDLOAD/1957/6/56038/pdf
1957,Dynamic Programming,X-CONTEXT,Dynamic Programming.pdf,https://gwern.net/doc/statistics/decision/1957-bellman-dynamicprogramming.pdf
1957,Information Theory and Statistical Mechanics,X-CONTEXT,Information Theory and Statistical Mechanics.pdf,https://bayes.wustl.edu/etj/articles/theory.1.pdf
1957,The perceptron: A perceiving and recognizing automaton,ML-FNDTNS,The perceptron- A perceiving and recognizing automaton.pdf,https://bpb-us-e2.wpmucdn.com/websites.umass.edu/dist/a/27637/files/2016/03/rosenblatt-1957.pdf
1959,Receptive fields of single neurones in the cat's striate cortex,X-CONTEXT,Receptive fields of single neurones in the cat's striate cortex.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC1363130/
1960,A New Approach to Linear Filtering and Prediction Problems,X-CONTEXT,A New Approach to Linear Filtering and Prediction Problems.pdf,https://sci-hub.ru/10.1115/1.3662552
1961,New Results in Linear Filtering and Prediction Theory,X-CONTEXT,New Results in Linear Filtering and Prediction Theory.pdf,https://sci-hub.ru/10.1115/1.3658902
1962,"Receptive Fields, Binocular Interaction, and Functional Architecture in the Cat's Visual Cortex",X-CONTEXT,"Receptive Fields, Binocular Interaction, and Functional Architecture in the Cat's Visual Cortex.pdf",https://www.gatsby.ucl.ac.uk/~lmatthey/teaching/tn1/additional/systems/JPhysiol-1962-Hubel-106-54.pdf
1970,Algoritmin kumulatiivinen pyoristysvirhe yksittaisten pyoristysvirheiden Taylor-kehitelmana (The representation of the cumulative rounding error ...),X-CONTEXT,Algoritmin kumulatiivinen pyoristysvirhe yksittaisten pyoristysvirheiden Taylor-kehitelmana (The representation of the cumulative rounding error ...).pdf,https://www.idsia.ch/~juergen/linnainmaa1970thesis.pdf
1971,The hippocampus as a spatial map. Preliminary evidence from unit activity in the freely-moving rat (OkeefeDostrovsky71),X-CONTEXT,The hippocampus as a spatial map. Preliminary evidence from unit activity in the freely-moving rat (OkeefeDostrovsky71).pdf,https://nteucampus.org/sites/default/files/lesson-docs/O_Keefe%20-%20The%20hippocampus%20as%20a%20spatial%20map_0.pdf
1972,Broadcast Channels,X-CONTEXT,Broadcast Channels.pdf,https://isl.stanford.edu/~cover/papers/transIT/0002cove.pdf
1972,Excitatory and inhibitory interactions in localized populations of model neurons (WilsonCowan72),X-CONTEXT,Excitatory and inhibitory interactions in localized populations of model neurons (WilsonCowan72).pdf,https://case.edu/artsci/math/thomas/b378s08/WilsonCowan1972BiophysicalJournal.pdf
1974,Working Memory (Baddeley & Hitch),X-CONTEXT,Working Memory (Baddeley & Hitch).pdf,https://app.nova.edu/toolbox/instructionalproducts/edd8124/fall11/1974-Baddeley-and-Hitch.pdf
1976,"Adaptive pattern classification and universal recoding: II. Feedback, expectation, olfaction, illusions (Grossberg76)",X-CONTEXT,"Adaptive pattern classification and universal recoding- II. Feedback, expectation, olfaction, illusions (Grossberg76).pdf",https://sci-hub.ru/10.1007/bf00340335
1980,A feature-integration theory of attention (TreismanGelade80),X-CONTEXT,A feature-integration theory of attention (TreismanGelade80).pdf,https://sci-hub.ru/10.1016/0010-0285(80)90005-5
1982,Neural networks and physical systems with emergent collective computational abilities,COMP-REAS,Neural networks and physical systems with emergent collective computational abilities.pdf,https://www.pnas.org/doi/10.1073/pnas.79.8.2554
1982,Two cortical visual systems,X-CONTEXT,Two cortical visual systems.pdf,https://www.cns.nyu.edu/~tony/vns/readings/ungerleider-mishkin-1982.pdf
1982,Vision: A Computational Investigation into the Human Representation and Processing of Visual Information,X-CONTEXT,Vision- A Computational Investigation into the Human Representation and Processing of Visual Information.pdf,https://direct.mit.edu/books/monograph/3299/VisionA-Computational-Investigation-into-the-Human
1983,Neuronlike Adaptive Elements That Can Solve Difficult Learning Control Problems,ML-FNDTNS,Neuronlike Adaptive Elements That Can Solve Difficult Learning Control Problems.pdf,https://incompleteideas.net/papers/barto-sutton-anderson-83.pdf
1986,Learning Representations by Back-Propagating Errors,ML-FNDTNS,Learning Representations by Back-Propagating Errors.pdf,https://www.nature.com/articles/323533a0.pdf
1988,Learning to Predict by the Methods of Temporal Differences,ML-FNDTNS,Learning to Predict by the Methods of Temporal Differences.pdf,https://incompleteideas.net/papers/sutton-88-with-erratum.pdf
1990,Cellular and circuit basis of working memory in prefrontal cortex of nonhuman primates (GoldmanRakic90),X-CONTEXT,Cellular and circuit basis of working memory in prefrontal cortex of nonhuman primates (GoldmanRakic90).pdf,https://www.sciencedirect.com/science/article/pii/S0079612308626886/pdf?md5=21ef5a5f718b876e350f35788a65d986&pid=1-s2.0-S0079612308626886-main.pdf
1990,Unified Theories of Cognition,X-CONTEXT,Unified Theories of Cognition.pdf,https://www.hup.harvard.edu/books/9780674921016
1991,"Dyna, an Integrated Architecture for Learning, Planning, and Reacting",COMP-REAS,"Dyna, an Integrated Architecture for Learning, Planning, and Reacting.pdf",https://sci-hub.ru/10.1145/122344.122377
1992,A prototype for data-driven visual attention,COMP-REAS,A prototype for data-driven visual attention.pdf,https://www.sci-hub.ru/10.1109/icpr.1992.201502
1992,Separate visual pathways for perception and action (GoodaleMilner92),X-CONTEXT,Separate visual pathways for perception and action (GoodaleMilner92).pdf,https://cnbc.cmu.edu/braingroup/papers/goodale_milner_1992.pdf
1992,Simple Statistical Gradient-Following Algorithms for Connectionist Reinforcement Learning (REINFORCE),ML-FNDTNS,Simple Statistical Gradient-Following Algorithms for Connectionist Reinforcement Learning (REINFORCE).pdf,https://link.springer.com/content/pdf/10.1007/BF00992696.pdf
1992,"TD-Gammon, a Self-Teaching Backgammon Program, Achieves Master-Level Play",ML-FNDTNS,"TD-Gammon, a Self-Teaching Backgammon Program, Achieves Master-Level Play.pdf",https://cdn.aaai.org/Symposia/Fall/1993/FS-93-02/FS93-02-003.pdf
1992,Technical Note: Q-learning,ML-FNDTNS,Technical Note- Q-learning.pdf,https://link.springer.com/content/pdf/10.1023/A%3A1022676722315.pdf
1993,Keeping Neural Networks Simple by Minimizing the Description Length of the Weights,ML-FNDTNS,Keeping Neural Networks Simple by Minimizing the Description Length of the Weights.pdf,/home/jake/Developer/timeline/BIBLIOTHEQUE/6_Keeping_Neural_Networks_Simple_by_Minimizing_the_Description_Length_of_the_Weights.pdf
1994,On-line Q-learning Using Connectionist Systems,ML-FNDTNS,On-line Q-learning Using Connectionist Systems.pdf,https://www.researchgate.net/profile/Mahesan-Niranjan/publication/2500611_On-Line_Q-Learning_Using_Connectionist_Systems/links/5438d5db0cf204cab1d6db0f/On-Line-Q-Learning-Using-Connectionist-Systems.pdf
1995,Cellular basis of working memory (GoldmanRakic95),X-CONTEXT,Cellular basis of working memory (GoldmanRakic95).pdf,https://www.sciencedirect.com/science/article/pii/0896627395903046/pdf?_valck=1&md5=ed5ba32082b957d1d233d356c4203fcb&pid=1-s2.0-0896627395903046-main.pdf
1995,Support-Vector Networks,ML-FNDTNS,Support-Vector Networks.pdf,https://link.springer.com/content/pdf/10.1007/BF00994018.pdf
1996,A recurrent neural architecture mimicking cortical preattentive vision systems,ML-FNDTNS,A recurrent neural architecture mimicking cortical preattentive vision systems.pdf,https://www.sci-hub.ru/10.1016/0925-2312(94)00067-0
1997,Long Short-Term Memory (LSTM),COMP-REAS,Long Short-Term Memory (LSTM).pdf,https://www.bioinf.jku.at/publications/older/2604.pdf
1998,"Feedforward, horizontal, and feedback processing in the visual cortex",X-CONTEXT,"Feedforward, horizontal, and feedback processing in the visual cortex.pdf",https://www.sci-hub.ru/10.1016/s0959-4388(98)80042-1
1999,A Framework for Temporal Abstraction in Reinforcement Learning,COMP-REAS,A Framework for Temporal Abstraction in Reinforcement Learning.pdf,https://www.sciencedirect.com/science/article/pii/S0004370299000521/pdf
1999,Actor-Critic Algorithms,ML-FNDTNS,Actor-Critic Algorithms.pdf,https://papers.nips.cc/paper/1786-actor-critic-algorithms.pdf
1999,Predictive coding in the visual cortex,X-CONTEXT,Predictive coding in the visual cortex.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC4311762/
1999,Predictive coding in the visual cortex: a functional interpretation of some extra-classical receptive-field effects,X-CONTEXT,Predictive coding in the visual cortex- a functional interpretation of some extra-classical receptive-field effects.pdf,https://homes.cs.washington.edu/~rao/Rao-Ballard-NN-1999.pdf
2000,Policy Gradient Methods for Reinforcement Learning with Function Approximation,ML-FNDTNS,Policy Gradient Methods for Reinforcement Learning with Function Approximation.pdf,https://papers.nips.cc/paper/1713-policy-gradient-methods-for-reinforcement-learning-with-function-approximation.pdf
2000,The distinct modes of vision offered by feedforward and recurrent processing,X-CONTEXT,The distinct modes of vision offered by feedforward and recurrent processing.pdf,https://www.sci-hub.ru/10.1016/s0166-2236(00)01657-x
2001,A Natural Policy Gradient,ML-FNDTNS,A Natural Policy Gradient.pdf,https://papers.neurips.cc/paper/2073-a-natural-policy-gradient.pdf
2001,An integrative theory of prefrontal cortex function,X-CONTEXT,An integrative theory of prefrontal cortex function.pdf,https://web.math.princeton.edu/~sswang/literature_general_unsorted/miller_cohen01_annu_rev_neurosci_prefrontal-theory.pdf
2001,"Using a recurrent network to bind form, color and position into a unified percept",COMP-REAS,"Using a recurrent network to bind form, color and position into a unified percept.pdf",https://www.sci-hub.ru/10.1016/s0925-2312(01)00395-2
2002,Approximately Optimal Approximate Reinforcement Learning,ML-FNDTNS,Approximately Optimal Approximate Reinforcement Learning.pdf,https://people.eecs.berkeley.edu/~pabbeel/cs287-fa09/readings/KakadeLangford-icml2002.pdf
2002,Optimal feedback control as a theory of motor coordination,X-CONTEXT,Optimal feedback control as a theory of motor coordination.pdf,https://roboti.us/lab/papers/TodorovNatNeurosci02.pdf
2003,A Neural Probabilistic Language Model,ML-FNDTNS,A Neural Probabilistic Language Model.pdf,https://www.jmlr.org/papers/volume3/bengio03a/bengio03a.pdf
2003,Least-Squares Policy Iteration (LSPI),ML-FNDTNS,Least-Squares Policy Iteration (LSPI).pdf,https://www.jmlr.org/papers/v4/lagoudakis03a.html
2004,A Tutorial Introduction to the Minimum Description Length Principle,ML-FNDTNS,A Tutorial Introduction to the Minimum Description Length Principle.pdf,/home/jake/Developer/timeline/BIBLIOTHEQUE/5_A_Tutorial_Introduction_to_the_Minimum_Description_Length_Principle.pdf
2004,Optimality principles in sensorimotor control (Todorov04),X-CONTEXT,Optimality principles in sensorimotor control (Todorov04).pdf,https://roboti.us/lab/papers/TodorovNatNeurosci04.pdf
2005,Dynamic dopamine modulation in the basal ganglia: a neurocomputational account of cognitive deficits in medicated and nonmedicated Parkinsonism (Frank05),X-CONTEXT,Dynamic dopamine modulation in the basal ganglia- a neurocomputational account of cognitive deficits in medicated and nonmedicated Parkinsonism (Frank05).pdf,https://ski.clps.brown.edu/papers/Frank_JOCN.pdf
2005,Microstructure of a spatial map in the entorhinal cortex,X-CONTEXT,Microstructure of a spatial map in the entorhinal cortex.pdf,https://www.nature.com/articles/nature03721.pdf
2005,Neural Fitted Q Iteration (NFQ),ML-FNDTNS,Neural Fitted Q Iteration (NFQ).pdf,https://link.springer.com/content/pdf/10.1007/11564096_32.pdf
2005,Tree-Based Batch Mode Reinforcement Learning,ML-FNDTNS,Tree-Based Batch Mode Reinforcement Learning.pdf,https://www.jmlr.org/papers/volume6/ernst05a/ernst05a.pdf
2006,A Fast Learning Algorithm for Deep Belief Nets,ML-FNDTNS,A Fast Learning Algorithm for Deep Belief Nets.pdf,https://www.cs.toronto.edu/~fritz/absps/ncfast.pdf
2006,A free energy principle for the brain (FEP),X-CONTEXT,A free energy principle for the brain (FEP).pdf,https://www.fil.ion.ucl.ac.uk/~karl/A%20free%20energy%20principle%20for%20the%20brain.pdf
2006,Making Working Memory Work: A Computational Model of Learning in the Prefrontal Cortex and Basal Ganglia (OReillyFrank06),X-CONTEXT,Making Working Memory Work- A Computational Model of Learning in the Prefrontal Cortex and Basal Ganglia (OReillyFrank06).pdf,https://ccnlab.org/papers/OReillyFrank06.pdf
2007,Core Knowledge,X-CONTEXT,Core Knowledge.pdf,https://www.harvardlds.org/wp-content/uploads/2017/01/SpelkeKinzler07-1.pdf
2007,The Hidden Logic of Sudoku (Second Edition),MIS-CLASS,The Hidden Logic of Sudoku (Second Edition).pdf,https://raw.githubusercontent.com/denis-berthier/CSP-Rules-V2.1/master/Publications/2007-HLS2.pdf
2007,Toward an executive without a homunculus: computational models of the prefrontal cortex/basal ganglia system,X-CONTEXT,Toward an executive without a homunculus- computational models of the prefrontal cortex-basal ganglia system.pdf,https://royalsocietypublishing.org/doi/abs/10.1098/rstb.2007.2055
2008,Machine Super Intelligence,DATA-BNCH,Machine Super Intelligence.pdf,/home/jake/Developer/timeline/BIBLIOTHEQUE/2_Machine_Super_Intelligence.pdf
2008,Natural Actor-Critic,ML-FNDTNS,Natural Actor-Critic.pdf,https://www.sciencedirect.com/science/article/pii/S0925231208000532/pdf
2009,ImageNet: A Large-Scale Hierarchical Image Database,DATA-BNCH,ImageNet- A Large-Scale Hierarchical Image Database.pdf,https://www.image-net.org/static_files/papers/imagenet_cvpr09.pdf
2010,Component-based Synthesis Applied to Bitvector Programs,X-CONTEXT,Component-based Synthesis Applied to Bitvector Programs.pdf,https://www.microsoft.com/en-us/research/wp-content/uploads/2010/02/bv.pdf
2010,Relative Entropy Policy Search (REPS),ML-FNDTNS,Relative Entropy Policy Search (REPS).pdf,https://ojs.aaai.org/index.php/AAAI/article/view/7727/7588
2010,The free-energy principle: a unified brain theory?,X-CONTEXT,The free-energy principle- a unified brain theory-.pdf,https://www.uab.edu/medicine/cinl/images/KFriston_FreeEnergy_BrainTheory.pdf
2011,Automating String Processing in Spreadsheets Using Input-Output Examples (FlashFill),ML-FNDTNS,Automating String Processing in Spreadsheets Using Input-Output Examples (FlashFill).pdf,https://www.microsoft.com/en-us/research/wp-content/uploads/2016/12/popl11-synthesis.pdf
