year,title,class,filename,url

Original Entries:
1997,Long Short-Term Memory (Hochreiter & Schmidhuber),COMP-REAS,Long Short-Term Memory (Hochreiter & Schmidhuber),https://www.bioinf.jku.at/publications/older/2604.pdf
1997,Long Short-Term Memory (LSTM),COMP-REAS,Long Short-Term Memory (LSTM),https://www.bioinf.jku.at/publications/older/2604.pdf

New Entry:
1997,Long Short-Term Memory,COMP-REAS,Long Short-Term Memory,https://www.bioinf.jku.at/publications/older/2604.pdf


2017,Proximal Policy Optimization (PPO),ML-FNDTNS,Proximal Policy Optimization (PPO),https://arxiv.org/pdf/1707.06347.pdf
2017,Proximal Policy Optimization Algorithms,ML-FNDTNS,Proximal Policy Optimization Algorithms,https://arxiv.org/pdf/1707.06347.pdf

2020,Language Models are Few-Shot Learners,ML-FNDTNS,Language Models are Few-Shot Learners,https://arxiv.org/pdf/2005.14165.pdf
2020,Language Models are Few-Shot Learners (GPT-3),ML-FNDTNS,Language Models are Few-Shot Learners (GPT-3),https://arxiv.org/pdf/2005.14165.pdf

2021,Evaluating Large Language Models Trained on Code,DATA-BNCH,Evaluating Large Language Models Trained on Code,https://arxiv.org/pdf/2107.03374.pdf
2021,Evaluating Large Language Models Trained on Code (HumanEval),DATA-BNCH,Evaluating Large Language Models Trained on Code (HumanEval),https://arxiv.org/pdf/2107.03374.pdf

2021,Learning Transferable Visual Models From Natural Language Supervision,ML-FNDTNS,Learning Transferable Visual Models From Natural Language Supervision,https://arxiv.org/pdf/2103.00020.pdf
2021,Learning Transferable Visual Models From Natural Language Supervision (CLIP),ML-FNDTNS,Learning Transferable Visual Models From Natural Language Supervision (CLIP),https://arxiv.org/pdf/2103.00020.pdf

2021,Zero-Shot Text-to-Image Generation,UNCLASSIFIED,Zero-Shot Text-to-Image Generation,https://arxiv.org/pdf/2102.12092.pdf
2021,Zero-Shot Text-to-Image Generation (DALL-E),UNCLASSIFIED,Zero-Shot Text-to-Image Generation (DALL-E),https://arxiv.org/pdf/2102.12092.pdf

2023,Let's Verify Step by Step,ML-FNDTNS,Let's Verify Step by Step,https://arxiv.org/pdf/2305.20050.pdf
2023,Let's Verify Step by Step (PRM),ML-FNDTNS,Let's Verify Step by Step (PRM),https://arxiv.org/pdf/2305.20050.pdf
