ratio,year,class_id,title,class,basename,url
8,2025,1,VRoPE: Rotary Position Embedding for Video Large Language Models,POS-ENCDR,VRoPE- Rotary Position Embedding for Video Large Language Models,https://arxiv.org/pdf/2502.11664.pdf
3,2021,1,Rethinking and Improving Relative Position Encoding for Vision Transformer (iRPE),POS-ENCDR,Rethinking and Improving Relative Position Encoding for Vision Transformer (iRPE),https://arxiv.org/pdf/2107.14222.pdf
3,2024,1,Transformers Can Do Arithmetic with the Right Embeddings,POS-ENCDR,Transformers Can Do Arithmetic with the Right Embeddings,https://proceedings.neurips.cc/paper_files/paper/2024/file/c35986bc1ee29b31c1011481b77fe540-Paper-Conference.pdf
3,2025,1,Circle-RoPE: Cone-like Decoupled Rotary Positional Embedding for Large Vision-Language Models,POS-ENCDR,Circle-RoPE- Cone-like Decoupled Rotary Positional Embedding for Large Vision-Language Models,https://arxiv.org/pdf/2505.16416.pdf
3,2025,1,Maximizing the Position Embedding for Vision Transformers (MPVG),POS-ENCDR,Maximizing the Position Embedding for Vision Transformers (MPVG),https://arxiv.org/pdf/2502.02919.pdf
3,2025,1,Positional Encoding Field,POS-ENCDR,Positional Encoding Field,https://arxiv.org/pdf/2510.20385v1.pdf
2,2024,1,LookHere: Vision Transformers with Directed Attention Generalize and Extrapolate,POS-ENCDR,LookHere- Vision Transformers with Directed Attention Generalize and Extrapolate,https://arxiv.org/pdf/2405.13985.pdf
2,2025,1,ComRoPE: Scalable and Robust Rotary Position Embedding Parameterized by Trainable Commuting Angle Matrices,POS-ENCDR,ComRoPE- Scalable and Robust Rotary Position Embedding Parameterized by Trainable Commuting Angle Matrices,https://arxiv.org/pdf/2506.03737.pdf
1,2021,1,BROS: A Pre-trained Language Model Focusing on Text and Layout for Better Key Information Extraction from Documents,POS-ENCDR,BROS- A Pre-trained Language Model Focusing on Text and Layout for Better Key Information Extraction from Documents,https://arxiv.org/pdf/2108.04539.pdf
1,2021,1,ConViT: Improving Vision Transformers with Soft Convolutional Inductive Biases,POS-ENCDR,ConViT- Improving Vision Transformers with Soft Convolutional Inductive Biases,https://arxiv.org/pdf/2103.10697.pdf
1,2022,1,Tackling the Abstraction and Reasoning Corpus with Vision Transformers: the ViTARC Architecture,POS-ENCDR,Tackling the Abstraction and Reasoning Corpus with Vision Transformers- the ViTARC Architecture,https://openreview.net/pdf?id=0gOQeSHNX1
1,2024,1,LieRE: Lie Rotational Positional Encodings,POS-ENCDR,LieRE- Lie Rotational Positional Encodings,https://arxiv.org/pdf/2406.10322.pdf
1,2024,1,Rotary Position Embedding for Vision Transformer (RoPE‑Mixed),POS-ENCDR,Rotary Position Embedding for Vision Transformer (RoPE‑Mixed),https://arxiv.org/pdf/2403.13298.pdf
1,2025,1,Causality-Induced Positional Encoding for Transformer-Based Representation Learning of Non-Sequential Features,POS-ENCDR,Causality-Induced Positional Encoding for Transformer-Based Representation Learning of Non-Sequential Features,https://arxiv.org/pdf/2509.16629.pdf
1,2025,1,EVA02-AT: Egocentric Video-Language with Spatial-Temporal RoPE,POS-ENCDR,EVA02-AT- Egocentric Video-Language with Spatial-Temporal RoPE,https://arxiv.org/pdf/2506.14356.pdf
1,2025,1,Head-Wise Adaptive Rotary Positional Encoding (HARoPE),POS-ENCDR,Head-Wise Adaptive Rotary Positional Encoding (HARoPE),https://arxiv.org/pdf/2510.10489.pdf
1,2025,1,LOOPE: Learnable Optimal Patch Order in Vision Transformers,POS-ENCDR,LOOPE- Learnable Optimal Patch Order in Vision Transformers,https://arxiv.org/pdf/2504.14386.pdf
1,2025,1,Rotary Masked Autoencoders Are Versatile Learners,POS-ENCDR,Rotary Masked Autoencoders Are Versatile Learners,https://arxiv.org/pdf/2505.20535.pdf
1,2026,1,LooseRoPE: Content-aware Attention Manipulation for Semantic Harmonization,POS-ENCDR,LooseRoPE- Content-aware Attention Manipulation for Semantic Harmonization,https://arxiv.org/pdf/2601.05127.pdf
