year,title,class,filename,url
2025,A Fully First-Order Layer for Differentiable Optimization,UNCLASSIFIED,A Fully First-Order Layer for Differentiable Optimization.pdf,https://arxiv.org/pdf/2512.02494.pdf
2025,ARC Is a Vision Problem!,UNCLASSIFIED,ARC Is a Vision Problem!.pdf,https://arxiv.org/pdf/2511.14761.pdf
2025,Behind RoPE: How Does Causal Mask Encode Positional Information?,UNCLASSIFIED,Behind RoPE- How Does Causal Mask Encode Positional Information-.pdf,https://arxiv.org/pdf/2509.21042.pdf
2025,CamPoint: Boosting Point Cloud Segmentation with Virtual Camera,UNCLASSIFIED,CamPoint- Boosting Point Cloud Segmentation with Virtual Camera.pdf,https://cvpr.thecvf.com/virtual/2025/poster/34611
2025,Causality-Induced Positional Encoding for Transformer-Based Representation Learning of Non-Sequential Features,UNCLASSIFIED,Causality-Induced Positional Encoding for Transformer-Based Representation Learning of Non-Sequential Features.pdf,https://arxiv.org/pdf/2509.16629.pdf
2025,Circle-RoPE: Cone-like Decoupled Rotary Positional Embedding for Large Vision-Language Models,UNCLASSIFIED,Circle-RoPE- Cone-like Decoupled Rotary Positional Embedding for Large Vision-Language Models.pdf,https://arxiv.org/pdf/2505.16416.pdf
2025,CoPE: A Lightweight Complex Positional Encoding,UNCLASSIFIED,CoPE- A Lightweight Complex Positional Encoding.pdf,https://arxiv.org/pdf/2508.18308.pdf
2025,ComRoPE: Scalable and Robust Rotary Position Embedding Parameterized by Trainable Commuting Angle Matrices,UNCLASSIFIED,ComRoPE- Scalable and Robust Rotary Position Embedding Parameterized by Trainable Commuting Angle Matrices.pdf,https://arxiv.org/pdf/2506.03737.pdf
2025,Context-aware Rotary Position Embedding (CARoPE),UNCLASSIFIED,Context-aware Rotary Position Embedding (CARoPE).pdf,https://arxiv.org/pdf/2507.23083.pdf
2025,"Decoupling the ""What"" and ""Where"" With Polar Coordinate Positional Embeddings (PoPE)",UNCLASSIFIED,Decoupling the -What- and -Where- With Polar Coordinate Positional Embeddings (PoPE).pdf,https://arxiv.org/pdf/2509.10534.pdf
2025,DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning,UNCLASSIFIED,DeepSeek-R1- Incentivizing Reasoning Capability in LLMs via Reinforcement Learning.pdf,https://arxiv.org/pdf/2501.12948.pdf
2025,DoPE: Denoising Rotary Position Embedding,UNCLASSIFIED,DoPE- Denoising Rotary Position Embedding.pdf,https://arxiv.org/pdf/2511.09146.pdf
2025,DynamicCity: Large-Scale 4D Occupancy Generation from Dynamic Scenes,UNCLASSIFIED,DynamicCity- Large-Scale 4D Occupancy Generation from Dynamic Scenes.pdf,https://arxiv.org/pdf/2410.18084.pdf
2025,EVA02-AT: Egocentric Video-Language with Spatial-Temporal RoPE,UNCLASSIFIED,EVA02-AT- Egocentric Video-Language with Spatial-Temporal RoPE.pdf,https://arxiv.org/pdf/2506.14356.pdf
2025,Efficient Evolutionary Program Synthesis,UNCLASSIFIED,Efficient Evolutionary Program Synthesis.pdf,https://ctpang.substack.com/p/arc-agi-2-sota-efficient-evolutionary
2025,Efficiently Allocating Test-Time Compute for LLM Agents,UNCLASSIFIED,Efficiently Allocating Test-Time Compute for LLM Agents.pdf,https://arxiv.org/pdf/2509.03581.pdf
2025,Exposing Numeracy Gaps: A Benchmark to Evaluate Fundamental Numerical Abilities in Large Language Models,UNCLASSIFIED,Exposing Numeracy Gaps- A Benchmark to Evaluate Fundamental Numerical Abilities in Large Language Models.pdf,https://arxiv.org/pdf/2502.11075.pdf
2025,"Gated Attention for LLMs: Non-linearity, Sparsity, Sink-Free",UNCLASSIFIED,"Gated Attention for LLMs- Non-linearity, Sparsity, Sink-Free.pdf",https://arxiv.org/pdf/2505.06708.pdf
2025,Graph Perceiver IO,UNCLASSIFIED,Graph Perceiver IO.pdf,https://www.sciencedirect.com/science/article/abs/pii/S0031320325005497
2025,Head-Wise Adaptive Rotary Positional Encoding (HARoPE),UNCLASSIFIED,Head-Wise Adaptive Rotary Positional Encoding (HARoPE).pdf,https://arxiv.org/pdf/2510.10489.pdf
2025,HoPE: Hyperbolic Rotary Positional Encoding for Stable Long-Range Dependency Modeling in Large Language Models,UNCLASSIFIED,HoPE- Hyperbolic Rotary Positional Encoding for Stable Long-Range Dependency Modeling in Large Language Models.pdf,https://arxiv.org/pdf/2509.05218.pdf
2025,LLaVA-4D: Embedding Spatiotemporal Prompt into LMMs,UNCLASSIFIED,LLaVA-4D- Embedding Spatiotemporal Prompt into LMMs.pdf,https://arxiv.org/pdf/2505.12253.pdf
2025,LOOPE: Learnable Optimal Patch Order in Vision Transformers,UNCLASSIFIED,LOOPE- Learnable Optimal Patch Order in Vision Transformers.pdf,https://arxiv.org/pdf/2504.14386.pdf
2025,Less is More: Recursive Reasoning with Tiny Networks,UNCLASSIFIED,Less is More- Recursive Reasoning with Tiny Networks.pdf,https://arxiv.org/pdf/2510.04871.pdf
2025,ONERULER: Benchmarking multilingual long-context language models,UNCLASSIFIED,ONERULER- Benchmarking multilingual long-context language models.pdf,https://arxiv.org/pdf/2503.01996.pdf
2025,Positional Encoding Field,UNCLASSIFIED,Positional Encoding Field.pdf,https://arxiv.org/pdf/2510.20385v1.pdf
2025,Rotary Masked Autoencoders Are Versatile Learners,UNCLASSIFIED,Rotary Masked Autoencoders Are Versatile Learners.pdf,https://arxiv.org/pdf/2505.20535.pdf
2025,Selective Rotary Position Embedding,UNCLASSIFIED,Selective Rotary Position Embedding.pdf,https://arxiv.org/pdf/2511.17388.pdf
2025,SmolVLM: Redefining small and efficient multimodal models,UNCLASSIFIED,SmolVLM- Redefining small and efficient multimodal models.pdf,https://arxiv.org/pdf/2504.05299.pdf
2025,TAPA: Positional Encoding via Token-Aware Phase Attention,UNCLASSIFIED,TAPA- Positional Encoding via Token-Aware Phase Attention.pdf,https://arxiv.org/pdf/2509.12635.pdf
2025,The Lessons of Developing Process Reward Models...,UNCLASSIFIED,The Lessons of Developing Process Reward Models....pdf,https://arxiv.org/pdf/2501.07301.pdf
2025,The Rotary Position Embedding May Cause Dimension Inefficiency,UNCLASSIFIED,The Rotary Position Embedding May Cause Dimension Inefficiency.pdf,https://arxiv.org/pdf/2502.11276.pdf
2025,TransXSSM: Hybrid Transformer–SSM with Unified RoPE,UNCLASSIFIED,TransXSSM- Hybrid Transformer–SSM with Unified RoPE.pdf,https://arxiv.org/pdf/2506.09507.pdf
2025,VRoPE: Rotary Position Embedding for Video Large Language Models,UNCLASSIFIED,VRoPE- Rotary Position Embedding for Video Large Language Models.pdf,https://arxiv.org/pdf/2502.11664.pdf
2025,Vector Symbolic Algebras for the Abstraction and Reasoning Corpus,UNCLASSIFIED,Vector Symbolic Algebras for the Abstraction and Reasoning Corpus.pdf,https://arxiv.org/pdf/2511.08747.pdf
2025,VisioMath: Benchmarking Figure-based Mathematical Reasoning in LMMs,UNCLASSIFIED,VisioMath- Benchmarking Figure-based Mathematical Reasoning in LMMs.pdf,https://arxiv.org/pdf/2506.06727.pdf
2025,WALRUS: A Cross-Domain Foundation Model for Continuum Dynamics,UNCLASSIFIED,WALRUS- A Cross-Domain Foundation Model for Continuum Dynamics.pdf,https://arxiv.org/pdf/2511.15684.pdf
2024,Are We on the Right Way for Evaluating Large Vision-Language Models?,UNCLASSIFIED,Are We on the Right Way for Evaluating Large Vision-Language Models-.pdf,https://arxiv.org/pdf/2403.20330.pdf
2024,Base of RoPE Bounds Context Length,UNCLASSIFIED,Base of RoPE Bounds Context Length.pdf,https://arxiv.org/pdf/2405.14591.pdf
2024,Beyond A*: Planning with Transformers,UNCLASSIFIED,Beyond A-- Planning with Transformers.pdf,https://arxiv.org/pdf/2402.14083.pdf
2024,Beyond Position: The Emergence of Wavelet-like Properties in Transformers,UNCLASSIFIED,Beyond Position- The Emergence of Wavelet-like Properties in Transformers.pdf,https://arxiv.org/pdf/2410.18067.pdf
2024,Chatbot Arena: An Open Platform for Evaluating LLMs by Human Preference,UNCLASSIFIED,Chatbot Arena- An Open Platform for Evaluating LLMs by Human Preference.pdf,https://arxiv.org/pdf/2403.04132.pdf
2024,Combining Induction and Transduction for Abstract Reasoning,UNCLASSIFIED,Combining Induction and Transduction for Abstract Reasoning.pdf,https://arxiv.org/pdf/2411.02272.pdf
