path,filename,class
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Dense Passage Retrieval for Open-Domain Question Answering.md,Dense Passage Retrieval for Open-Domain Question Answering,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Better & Faster Large Language Models via Multi-token Prediction.md,Better & Faster Large Language Models via Multi-token Prediction,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/AI Feynman- a Physics-Inspired Method for Symbolic Regression.md,AI Feynman- a Physics-Inspired Method for Symbolic Regression,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Generative Adversarial Nets (GANs).md,Generative Adversarial Nets (GANs),5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Test-time Adaptation of Tiny Recursive Models.md,Test-time Adaptation of Tiny Recursive Models,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/The perceptron- A perceiving and recognizing automaton.md,The perceptron- A perceiving and recognizing automaton,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/On-line Q-learning Using Connectionist Systems.md,On-line Q-learning Using Connectionist Systems,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Support-Vector Networks.md,Support-Vector Networks,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Zephyr- Direct Distillation of LM Alignment.md,Zephyr- Direct Distillation of LM Alignment,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Policy Gradient Methods for Reinforcement Learning with Function Approximation.md,Policy Gradient Methods for Reinforcement Learning with Function Approximation,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/GPipe- Efficient Training of Giant Neural Networks using Pipeline Parallelism.md,GPipe- Efficient Training of Giant Neural Networks using Pipeline Parallelism,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Neural Program Meta-Induction.md,Neural Program Meta-Induction,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/The LLM ARChitect- Solving ARC-AGI Is a Matter of Perspective.md,The LLM ARChitect- Solving ARC-AGI Is a Matter of Perspective,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Improving Language Understanding by Generative Pre-Training.md,Improving Language Understanding by Generative Pre-Training,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Stabilizing Equilibrium Models by Jacobian Regularization.md,Stabilizing Equilibrium Models by Jacobian Regularization,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/ImageNet Classification with Deep Convolutional Neural Networks (AlexNet).md,ImageNet Classification with Deep Convolutional Neural Networks (AlexNet),5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Let's Verify Step by Step (PRM).md,Let's Verify Step by Step (PRM),5
