year,title,url,source,similarity





2016,Sparse Differentiable Neural Computer (SDNC),https://arxiv.org/pdf/1610.09027.pdf ,ARXIV,0.895
2016,Differentiable Neural Computer (DNC),https://www.nature.com/articles/nature20101.pdf ,BIBLIOTHEQUE,0.895

2023,Segment Anything,https://arxiv.org/pdf/2304.02643.pdf,ARXIV,0.889
2023,Segment Anything (SAM),https://openaccess.thecvf.com/content/ICCV2023/papers/Kirillov_Segment_Anything_ICCV_2023_paper.pdf,BIBLIOTHEQUE,0.889

2017,SyGuS-Comp 2017: Results and Analysis,https://arxiv.org/pdf/1711.11438.pdf,ARXIV,0.879
2015,SyGuS-Comp'15 Results/Analysis,https://rishabhmit.bitbucket.io/papers/synt15.pdf,BIBLIOTHEQUE,0.879

2021,MaskFormer: Per-Pixel Classification is Not All You Need for Semantic Segmentation,https://arxiv.org/pdf/2107.06278.pdf,ARXIV,0.864
2021,Per-Pixel Classification is Not All You Need for Semantic Segmentation (MaskFormer),https://papers.neurips.cc/paper_files/paper/2021/file/950a4152c2b4aa3ad78bdd6b366cc179-Paper.pdf,BIBLIOTHEQUE,0.864

2022,XPos / Length-Extrapolatable Transformer,https://arxiv.org/pdf/2212.10554.pdf,ARXIV,0.829
2023,A Length-Extrapolatable Transformer (XPOS / LeX),https://aclanthology.org/2023.acl-long.816.pdf,BIBLIOTHEQUE,0.829

2023,MMMU: A Massive Multi-discipline Multimodal Understanding and Reasoning Benchmark for Expert AGI,https://arxiv.org/pdf/2311.16502.pdf,ARXIV,0.820
2025,MMMU-Pro: A More Robust Multi-discipline Multimodal Understanding and Reasoning Benchmark,https://aclanthology.org/2025.acl-long.736.pdf,BIBLIOTHEQUE,0.820

2021,CoAtNet: Marrying Convolution and Attention for All Data Sizes,https://arxiv.org/pdf/2106.04803.pdf,ARXIV,0.816
2021,CoAtNet: Marrying Convolution and Attention,https://proceedings.neurips.cc/paper/2021/hash/20568692db622456cc42a2e853ca21f8-Paper.pdf,BIBLIOTHEQUE,0.816

2014,Neural Turing Machines (NTM),https://arxiv.org/pdf/1410.5401.pdf,ARXIV,0.800
2017,Lie-Access Neural Turing Machines (LANTM),https://openreview.net/pdf?id=Byiy-Pqlx,BIBLIOTHEQUE,0.800
