year,title,url
2022,Winoground: Probing Vision-Language Models for Compositionality,"https://arxiv.org/pdf/2204.03162.pdf ""Winoground (2022) — arXiv"""
1974,Working Memory,https://www.sciencedirect.com/science/article/pii/S0079742108604521
2012,"Working Memory: Theories, Models, and Controversies",https://pubmed.ncbi.nlm.nih.gov/21961947/
2019,XLNet: Generalized Autoregressive Pretraining for Language Understanding,https://arxiv.org/pdf/1906.08237
2022,XPos / Length-Extrapolatable Transformer,https://arxiv.org/pdf/2212.10554
2023,YaRN: Efficient Context Window Extension of Large Language Models,https://arxiv.org/abs/2309.00071
2023,YaRN: Efficient Context Window Extension of Large Language Models,"https://arxiv.org/pdf/2309.00071.pdf ""YaRN (2023) — arXiv"""
2020,ZeRO: Memory Optimizations Toward Training Trillion Parameter Models,https://arxiv.org/abs/1910.02054
2025,Zero-Shot 4D LiDAR Panoptic Segmentation (SAL-4D),https://openaccess.thecvf.com/content/CVPR2025/papers/Zhang_Zero-Shot_4D_Lidar_Panoptic_Segmentation_CVPR_2025_paper.pdf
2025,Zero-Shot 4D LiDAR Panoptic Segmentation (SAL-4D),https://openaccess.thecvf.com/content/CVPR2025/papers/Zhang_Zero-Shot_4D_Lidar_Panoptic_Segmentation_CVPR_2025_paper.pdf
2021,Zero-Shot Text-to-Image Generation,"https://arxiv.org/pdf/2102.12092.pdf ""Zero-Shot Text-to-Image Generation (2021) — arXiv"""
2021,Zero-Shot Text-to-Image Generation,"https://arxiv.org/pdf/2102.12092.pdf ""Zero-Shot Text-to-Image Generation (2021) — arXiv"""
2021,Zero-Shot Text-to-Image Generation (DALL-E),https://arxiv.org/abs/2102.12092
2021,diff-SAT - Sampling and Probabilistic Reasoning for SAT and Answer Set Programming,https://arxiv.org/abs/2101.00589
2021,miniF2F: a cross-system benchmark for formal Olympiad-level mathematics,https://arxiv.org/abs/2109.00110
2025,the ARChitects,https://arcprize.org/competitions/2025/
2013,word2vec (Skip-gram / CBOW),MISSING
