year,title,url
2026,Flow-based Extremal Mathematical Structure Discovery,https://arxiv.org/pdf/2601.18005v1.pdf
2024,Self-Distillation Bridges Distribution Gap in Language Model Fine-Tuning,https://arxiv.org/pdf/2402.13669.pdf
2026,Shaping capabilities with token-level data filtering,https://arxiv.org/pdf/2601.21571.pdf
2025,End-to-End Test-Time Training for Long Context,https://arxiv.org/pdf/2512.23675.pdf
2026,Teaching Models to Teach Themselves: Reasoning at the Edge of Learnability,https://arxiv.org/pdf/2601.18778.pdf
2026,Resonant Sparse Geometry Networks,https://arxiv.org/pdf/2601.18064.pdf
2026,POPE: Learning to Reason on Hard Problems via Privileged On-Policy Exploration,https://arxiv.org/pdf/2601.18779.pdf
2026,Value-Based Pre-Training with Downstream Feedback,https://arxiv.org/pdf/2601.22108.pdf
2025,Do Latent Tokens Think? A Causal and Adversarial Analysis of Chain-of-Continuous-Thought,https://arxiv.org/pdf/2512.21711.pdf
2025,Scaling Embedding Layers in Language Models,https://arxiv.org/pdf/2502.01637.pdf
2026,ConceptMoE: Adaptive Token-to-Concept Compression for Implicit Compute Allocation,https://arxiv.org/pdf/2601.21420.pdf
2008,Optimal Algorithms and Inapproximability Results for Every CSP?,https://people.eecs.berkeley.edu/~prasad/Files/extabstract.pdf
2026,Schema-based active inference supports rapid generalization of experience and frontal cortical coding of abstract structure,https://arxiv.org/pdf/2601.18946.pdf
2026,Mano: Restriking Manifold Optimization for LLM Training,https://arxiv.org/pdf/2601.23000.pdf
