year,title,url,count
2020,2WikiMultiHopQA: Comprehensive Evaluation of Reasoning Steps,https://aclanthology.org/2020.coling-main.580.pdf,1
2023,4D-Former: Multimodal 4D Panoptic Segmentation,https://proceedings.mlr.press/v229/athar23a/athar23a.pdf,1
2024,A 2D nGPT Model For Arc Prize,https://raw.githubusercontent.com/jfpuget/ARC-AGI-Challenge-2024/main/arc.pdf,1
2006,A Fast Learning Algorithm for Deep Belief Nets,https://www.cs.toronto.edu/~fritz/absps/ncfast.pdf,1
1980,A feature-integration theory of attention (TreismanGelade80),https://sci-hub.ru/10.1016/0010-0285(80)90005-5,1
2019,A Framework for Intelligence and Cortical Function Based on Grid Cells in the Neocortex,https://www.frontiersin.org/journals/neural-circuits/articles/10.3389/fncir.2018.00121/pdf,1
1999,A Framework for Temporal Abstraction in Reinforcement Learning,https://www.sciencedirect.com/science/article/pii/S0004370299000521/pdf,1
2006,A free energy principle for the brain (FEP),https://www.fil.ion.ucl.ac.uk/~karl/A%20free%20energy%20principle%20for%20the%20brain.pdf,1
2023,A Length-Extrapolatable Transformer (XPOS / LeX),https://aclanthology.org/2023.acl-long.816.pdf,2
1957,A Markovian Decision Process,https://www.iumj.indiana.edu/IUMJ/FTDLOAD/1957/6/56038/pdf,1
1948,A Mathematical Theory of Communication,https://people.math.harvard.edu/~ctm/home/text/others/shannon/entropy/entropy.pdf,2
2001,A Natural Policy Gradient,https://papers.neurips.cc/paper/2073-a-natural-policy-gradient.pdf,1
2003,A Neural Probabilistic Language Model,https://www.jmlr.org/papers/volume3/bengio03a/bengio03a.pdf,1
2021,A Neurosymbolic Approach to Abstraction and Reasoning,https://dspace.mit.edu/bitstream/handle/1721.1/139305/Alford-salford-meng-eecs-2021-thesis.pdf,1
1960,A New Approach to Linear Filtering and Prediction Problems,https://sci-hub.ru/10.1115/1.3662552,1
1992,A prototype for data-driven visual attention,https://www.sci-hub.ru/10.1109/icpr.1992.201502,1
1996,A recurrent neural architecture mimicking cortical preattentive vision systems,https://www.sci-hub.ru/10.1016/0925-2312(94)00067-0,1
2021,A Simple and Effective Positional Encoding for Transformers,https://aclanthology.org/2021.emnlp-main.236.pdf,1
2024,A Survey on Evaluation of Large Language Models,https://dl.acm.org/doi/pdf/10.1145/3641289,1
2018,Accelerating Search-Based Program Synthesis using Learned Probabilistic Models (Euphony),https://www.cis.upenn.edu/~alur/PLDI18.pdf,1
1999,Actor-Critic Algorithms,https://papers.nips.cc/paper/1786-actor-critic-algorithms.pdf,1
2025,Adaptive Patch Selection for ViTs via Reinforcement Learning,https://link.springer.com/content/pdf/10.1007/s10489-025-06516-z.pdf,1
1976,"Adaptive pattern classification and universal recoding: II. Feedback, expectation, olfaction, illusions (Grossberg76)",https://sci-hub.ru/10.1007/bf00340335,1
2025,Adaptive Thinking Using Dynamic Computation,https://proceedings.iclr.cc/paper_files/paper/2025/file/955499a8e2860ed746717c1374224c43-Paper-Conference.pdf,1
2024,Advancing Process Verification for LLM Reasoning,https://aclanthology.org/2024.emnlp-main.125.pdf,1
2020,Agent57: Outperforming the Atari Human Benchmark,https://proceedings.mlr.press/v119/badia20a/badia20a.pdf,1
2020,AI Feynman,https://www.science.org/doi/pdf/10.1126/sciadv.aay2631,1
2019,AI Feynman: a Physics-Inspired Method for Symbolic Regression,https://arxiv.org/pdf/1905.11481.pdf,1
1970,Algoritmin kumulatiivinen pyoristysvirhe yksittaisten pyoristysvirheiden Taylor-kehitelmana (The representation of the cumulative rounding error ...),https://www.idsia.ch/~juergen/linnainmaa1970thesis.pdf,1
1913,"An Example of Statistical Investigation of the Text ""Eugene Onegin"" Concerning the Connection of Samples in Chains",https://nessie.ilab.sztaki.hu/~kornai/2021/KalmanCL/markov_1913.pdf,1
2001,An integrative theory of prefrontal cortex function,https://web.math.princeton.edu/~sswang/literature_general_unsorted/miller_cohen01_annu_rev_neurosci_prefrontal-theory.pdf,1
2002,Approximately Optimal Approximate Reinforcement Learning,https://people.eecs.berkeley.edu/~pabbeel/cs287-fa09/readings/KakadeLangford-icml2002.pdf,1
2025,ARC is a Vision Problem!,https://arxiv.org/pdf/2511.14761.pdf,1
2024,ARC Prize 2024: Technical Report,https://arxiv.org/pdf/2412.04604.pdf,1
2025,ARC-AGI Without Pretraining (CompressARC),https://iliao2345.github.io/blog_posts/arc_agi_without_pretraining/ARC_AGI_Without_Pretraining.pdf,1
2025,ARC-NCA: Towards Developmental Solutions to the Abstraction and Reasoning Corpus,https://arxiv.org/pdf/2505.08778.pdf,1
2025,ArcMemo: Abstract Reasoning Composition with Lifelong LLM Memory,https://arxiv.org/pdf/2509.04439.pdf,1
2025,Arithmetic-Bench: Evaluating Multi-Step Reasoning in LLMs through Basic Arithmetic Operations,https://openreview.net/pdf?id=ae6bKeffGZ,1
2017,Attention Is All You Need,https://papers.neurips.cc/paper/7181-attention-is-all-you-need.pdf,1
