file_name,file_title,csv_year,csv_title,csv_url,similarity
Are We on the Right Way for Evaluating Large Vision-Language Models.pdf,Are We on the Right Way for Evaluating Large Vision-Language Models,2024,Are We on the Right Way for Evaluating Large Vision-Language Models?,https://arxiv.org/pdf/2403.20330.pdf,1.000
Behind RoPE - How Does Causal Mask Encode Positional Information.pdf,Behind RoPE - How Does Causal Mask Encode Positional Information,2025,Behind RoPE: How Does Causal Mask Encode Positional Information?,https://arxiv.org/pdf/2509.21042.pdf,1.000
CamPoint- Boosting Point Cloud Segmentation with Virtual Camera.pdf,CamPoint- Boosting Point Cloud Segmentation with Virtual Camera,2025,CamPoint: Boosting Point Cloud Segmentation with Virtual Camera,https://cvpr.thecvf.com/virtual/2025/poster/34611,1.000
Causality-Induced Positional Encoding for Transformer-Based Representation Learning of Non-Sequential Features.pdf,Causality-Induced Positional Encoding for Transformer-Based Representation Learning of Non-Sequential Features,2025,Causality-Induced Positional Encoding for Transformer-Based Representation Learning of Non-Sequential Features,https://arxiv.org/pdf/2509.16629.pdf,1.000
DeLiVoTr- Deep and light-weight voxel transformer for 3D object detection.pdf,DeLiVoTr- Deep and light-weight voxel transformer for 3D object detection,2024,DeLiVoTr: Deep and Light-weight Voxel Transformer for 3D Object Detection,https://www.sciencedirect.com/science/article/pii/S2667305324000371,1.000
Deterministic Nonperiodic Flow.pdf,Deterministic Nonperiodic Flow,1963,Deterministic Nonperiodic Flow,https://journals.ametsoc.org/downloadpdf/view/journals/atsc/20/2/1520-0469_1963_020_0130_dnf_2_0_co_2.pdf,1.000
Deterministic Policy Gradient Algorithms.pdf,Deterministic Policy Gradient Algorithms,2014,Deterministic Policy Gradient Algorithms,https://proceedings.mlr.press/v32/silver14.pdf,1.000
Efficient Evolutionary Program Synthesis.pdf,Efficient Evolutionary Program Synthesis,2025,Efficient Evolutionary Program Synthesis,https://ctpang.substack.com/p/arc-agi-2-sota-efficient-evolutionary,1.000
Evolutionary Test-Time Compute.pdf,Evolutionary Test-Time Compute,2024,Evolutionary Test-Time Compute,https://jeremyberman.substack.com/p/how-i-got-a-record-536-on-arc-agi,1.000
Fourier Features Let Networks Learn High Frequency Functions in Low Dimensional Domains.pdf,Fourier Features Let Networks Learn High Frequency Functions in Low Dimensional Domains,2020,Fourier Features Let Networks Learn High Frequency Functions in Low Dimensional Domains,https://arxiv.org/pdf/2006.10739.pdf,1.000
Generative Verifiers- Reward Modeling as Next-Token Prediction.pdf,Generative Verifiers- Reward Modeling as Next-Token Prediction,2024,Generative Verifiers: Reward Modeling as Next-Token Prediction,https://neurips.cc/virtual/2024/104300,1.000
HoPE - Hyperbolic Rotary Positional Encoding for Stable Long-Range Dependency Modeling in Large Language Models.pdf,HoPE - Hyperbolic Rotary Positional Encoding for Stable Long-Range Dependency Modeling in Large Language Models,2025,HoPE: Hyperbolic Rotary Positional Encoding for Stable Long-Range Dependency Modeling in Large Language Models,https://arxiv.org/pdf/2509.05218.pdf,1.000
Lorentz-Equivariant Geometric Algebra Transformers for High-Energy Physics.pdf,Lorentz-Equivariant Geometric Algebra Transformers for High-Energy Physics,2024,Lorentz-Equivariant Geometric Algebra Transformers for High-Energy Physics,https://arxiv.org/pdf/2405.14806.pdf,1.000
Positional Encoding Field.pdf,Positional Encoding Field,2025,Positional Encoding Field,https://arxiv.org/pdf/2510.20385v1.pdf,1.000
Sigmoid Loss for Language Image Pre-Training.pdf,Sigmoid Loss for Language Image Pre-Training,2023,Sigmoid Loss for Language Image Pre-Training,https://arxiv.org/pdf/2303.15343.pdf,1.000
"You Only Look Once - Unified, Real-Time Object Detection.pdf","You Only Look Once - Unified, Real-Time Object Detection",2015,"You Only Look Once: Unified, Real-Time Object Detection",https://arxiv.org/pdf/1506.02640.pdf,1.000
Dream to Control- Learning Behaviors by Latent Imagination.pdf,Dream to Control- Learning Behaviors by Latent Imagination,2019,Dream to Control: Learning Behaviors by Latent Imagination (Dreamer),https://openreview.net/attachment?id=S1lOTC4tDS&name=original_pdf,0.935
A Theory of the Learnable.pdf,A Theory of the Learnable,1984,A Theory of the Learnable (PAC Learning),https://web.mit.edu/6.435/www/Valiant84.pdf,0.792
3DETR- An End-to-End Transformer Model for 3D Object Detection.pdf,3DETR- An End-to-End Transformer Model for 3D Object Detection,2024,DeLiVoTr: Deep and Light-weight Voxel Transformer for 3D Object Detection,https://www.sciencedirect.com/science/article/pii/S2667305324000371,0.726
Deformable DETR- Deformable Transformers for End-to-End Object Detection.pdf,Deformable DETR- Deformable Transformers for End-to-End Object Detection,2024,DeLiVoTr: Deep and Light-weight Voxel Transformer for 3D Object Detection,https://www.sciencedirect.com/science/article/pii/S2667305324000371,0.629
Training data-efficient image transformers & distillation through attention.pdf,Training data-efficient image transformers & distillation through attention,2021,DeiT: Data-efficient Image Transformers,https://proceedings.mlr.press/v139/touvron21a/touvron21a.pdf,0.620
BEIT- BERT Pre-Training of Image Transformers.pdf,BEIT- BERT Pre-Training of Image Transformers,2021,DeiT: Data-efficient Image Transformers,https://proceedings.mlr.press/v139/touvron21a/touvron21a.pdf,0.611
Adaptive Attention Span in Transformers.pdf,Adaptive Attention Span in Transformers,2021,DeiT: Data-efficient Image Transformers,https://proceedings.mlr.press/v139/touvron21a/touvron21a.pdf,0.609
Evaluating Large Language Models Trained on Code.pdf,Evaluating Large Language Models Trained on Code,2024,Are We on the Right Way for Evaluating Large Vision-Language Models?,https://arxiv.org/pdf/2403.20330.pdf,0.592
Beyond A*- Planning with Transformers.pdf,Beyond A*- Planning with Transformers,2021,DeiT: Data-efficient Image Transformers,https://proceedings.mlr.press/v139/touvron21a/touvron21a.pdf,0.585
BLIP-2- Bootstrapping Language-Image Pre-training with Frozen Models.pdf,BLIP-2- Bootstrapping Language-Image Pre-training with Frozen Models,2023,Sigmoid Loss for Language Image Pre-Training,https://arxiv.org/pdf/2303.15343.pdf,0.583
Circle-RoPE- Cone-like Decoupled Rotary Positional Embedding for Large Vision-Language Models.pdf,Circle-RoPE- Cone-like Decoupled Rotary Positional Embedding for Large Vision-Language Models,2025,HoPE: Hyperbolic Rotary Positional Encoding for Stable Long-Range Dependency Modeling in Large Language Models,https://arxiv.org/pdf/2509.05218.pdf,0.571
AST- Audio Spectrogram Transformer.pdf,AST- Audio Spectrogram Transformer,2021,DeiT: Data-efficient Image Transformers,https://proceedings.mlr.press/v139/touvron21a/touvron21a.pdf,0.562
CoPE- A Lightweight Complex Positional Encoding.pdf,CoPE- A Lightweight Complex Positional Encoding,2025,Positional Encoding Field,https://arxiv.org/pdf/2510.20385v1.pdf,0.562
AGIEval- A Human-Centric Benchmark for Evaluating Foundation Models.pdf,AGIEval- A Human-Centric Benchmark for Evaluating Foundation Models,2024,Are We on the Right Way for Evaluating Large Vision-Language Models?,https://arxiv.org/pdf/2403.20330.pdf,0.561
YaRN- Efficient Context Window Extension of Large Language Models.pdf,YaRN- Efficient Context Window Extension of Large Language Models,2024,Are We on the Right Way for Evaluating Large Vision-Language Models?,https://arxiv.org/pdf/2403.20330.pdf,0.554
Align before Fuse- Vision and Language Representation Learning with Momentum Distillation.pdf,Align before Fuse- Vision and Language Representation Learning with Momentum Distillation,2025,Causality-Induced Positional Encoding for Transformer-Based Representation Learning of Non-Sequential Features,https://arxiv.org/pdf/2509.16629.pdf,0.545
Graph of Thoughts- Solving Elaborate Problems with Large Language Models.pdf,Graph of Thoughts- Solving Elaborate Problems with Large Language Models,2024,Are We on the Right Way for Evaluating Large Vision-Language Models?,https://arxiv.org/pdf/2403.20330.pdf,0.525
Beyond the Imitation Game- Quantifying and extrapolating the capabilities of language models.pdf,Beyond the Imitation Game- Quantifying and extrapolating the capabilities of language models,2024,Are We on the Right Way for Evaluating Large Vision-Language Models?,https://arxiv.org/pdf/2403.20330.pdf,0.515
Extending Context Window of Large Language Models via Positional Interpolation (PI).pdf,Extending Context Window of Large Language Models via Positional Interpolation (PI),2025,Behind RoPE: How Does Causal Mask Encode Positional Information?,https://arxiv.org/pdf/2509.21042.pdf,0.512
VideoBERT- A Joint Model for Video and Language Representation Learning.pdf,VideoBERT- A Joint Model for Video and Language Representation Learning,2023,Sigmoid Loss for Language Image Pre-Training,https://arxiv.org/pdf/2303.15343.pdf,0.505
