arxiv_title,arxiv_2_title
A Benchmark to Evaluate Fundamental Numerical Abilities,Exposing Numeracy Gaps: A Benchmark to Evaluate Fundamental Numerical Abilities in Large Language Models
Batch Normalization,Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift
ConceptARC,The ConceptARC Benchmark: Evaluating Understanding and Generalization in the ARC Domain
Constructing Datasets for Multi-hop Reading Comprehension (WikiHop / MedHop; QAngaroo),Constructing Datasets for Multi-hop Reading Comprehension
Continuous Control with Deep Reinforcement Learning (DDPG),Continuous Control with Deep Reinforcement Learning
Deep Equilibrium Models (DEQ),Deep Equilibrium Models
Differentiable Convex Optimization Layers (DPP),Differentiable Convex Optimization Layers
Direct Preference Optimization (DPO),Direct Preference Optimization: Your Language Model is Secretly a Reward Model
Distributed Prioritized Experience Replay (Ape-X),Distributed Prioritized Experience Replay
Gaussian Adaptive Attention Is All You Need,Density Adaptive Attention is All You Need: Robust Parameter-Efficient Fine-Tuning Across Multiple Modalities
Guiding SAT Solvers with Unsat-Core Predictions (NeuroCore),Guiding High-Performance SAT Solvers with Unsat-Core Predictions
LLaVA: Large Language-and-Vision Assistant,Visual Instruction Tuning
Taming Transformers for High-Resolution Image Synthesis (VQGAN + Transformer),Taming Transformers for High-Resolution Image Synthesis
Training Verifiers to Solve Math Word Problems (GSM8K),GSM8K: Training Verifiers to Solve Math Word Problems
