                                                         Table 5: Default hyperparameter values.
                                 Hyperparameter                                                           Default Value
                                 Hidden Size                                                                       1024
                                 Intermediate Size                                                                 2048
                                 EmbeddingSize                                                                     1024
                                 NumberofAttention Heads                                                             16
                                 Progressive Loss Alpha [Bansal et al., 2022]                                       1.0
                                 Data Type                                                               float16/float32
                                 Optimizer                                      AdamW[LoshchilovandHutter,2017]
                                 Global Batch Size                                                                 8192
                                 Batch Size Ramp                                                                    0.6
                                 Learning Rate                                                                   0.0001
                                 Learning Rate Scheduler                                   Trapezoid [Zhai et al., 2022]
                                 Activation Function                                         GELUglu[Shazeer, 2020]
                                 Normalization Layer                                       LayerNorm[Baetal., 2016]
                                 Normalization Type                                                                Post
                                 Offset Randomization Hyperparameter (k)                                            100
                                 Initialization                                          Deepnorm[Wangetal.,2022]
                                                                           24
